PlayerID,PlayerName,Age,Nationality,Club,Position,Overall,Potential,MarketValue,WeeklyWage,PreferredFoot,Height_cm,Weight_kg,MatchesPlayed,Goals,Assists,JoinDate
33,Player_33,20,Nigeria,Inter Milan,CM,76,82,109533689,491070,Right,177,86,39,1,8,2019-06-15
34,Player_34,38,France,Real Madrid,CDM,56,56,26102547,82042,Left,187,75,39,31,3,2023-08-09
35,Player_35,39,Netherlands,Chelsea,RB,92,93,114392589,268132,Left,166,84,40,26,16,2019-10-17
36,Player_36,33,Belgium,Arsenal,RW,68,76,85743612,114975,Right,179,82,11,20,19,2021-07-14
37,Player_37,22,England,Arsenal,LB,68,71,119173829,51283,Right,181,84,6,27,13,2024-02-04
38,Player_38,38,Brazil,Barcelona,RB,63,66,54110055,329749,Left,188,67,45,32,20,2021-11-07
39,Player_39,32,Brazil,Real Madrid,RW,67,68,64752822,56165,Left,174,72,11,7,6,2019-12-08
40,Player_40,21,England,Juventus,CB,73,74,77866589,32977,Right,185,85,29,27,16,2021-12-23
41,Player_41,29,Brazil,Arsenal,LB,68,73,1827848,332901,Left,194,83,47,23,12,2020-03-10
42,Player_42,35,Brazil,PSG,CB,65,66,68844745,415919,Left,177,92,37,21,8,2021-02-18
43,Player_43,19,Spain,Inter Milan,CM,65,71,17929821,470547,Left,176,85,13,11,2,2021-10-31
44,Player_44,25,Spain,Liverpool,GK,85,86,1471983,466092,Right,182,79,21,13,12,2024-05-21
45,Player_45,21,Nigeria,Arsenal,CB,89,90,52340431,270350,Left,166,67,39,6,7,2020-11-17
46,Player_46,30,France,Bayern Munich,GK,80,88,6822214,399643,Right,181,76,17,21,17,2024-01-23
47,Player_47,32,Argentina,Juventus,CB,81,89,76282784,444249,Right,189,70,24,30,5,2023-07-23
48,Player_48,33,Nigeria,Bayern Munich,CDM,93,93,57707024,496095,Left,184,83,33,18,15,2021-01-09
49,Player_49,33,France,Liverpool,GK,73,77,3655264,7846,Right,191,84,3,20,12,2018-07-25
50,Player_50,34,France,Bayern Munich,LW,75,76,107100934,475269,Left,180,62,33,6,14,2019-08-15
51,Player_51,23,Portugal,Juventus,CB,93,94,6814539,327785,Right,168,82,33,9,3,2022-01-28
52,Player_52,30,Germany,Liverpool,CAM,63,69,61193346,315623,Left,198,68,18,8,7,2023-05-25
53,Player_53,19,Netherlands,PSG,CDM,87,91,105318147,266498,Left,177,77,48,15,6,2020-10-16
54,Player_54,32,Brazil,Chelsea,CDM,67,67,84393698,32369,Left,166,62,6,14,17,2021-02-13
55,Player_55,18,Spain,Juventus,LW,60,62,73954121,123578,Left,178,81,21,31,4,2018-11-01
56,Player_56,19,Germany,Bayern Munich,LB,83,86,59688121,222987,Left,174,80,18,35,5,2022-10-18
57,Player_57,36,Spain,Barcelona,RW,78,79,62060770,459345,Right,192,91,43,29,9,2018-02-08
58,Player_58,18,Argentina,Chelsea,LW,74,77,88915326,317022,Left,183,69,14,22,10,2022-02-09
59,Player_59,19,Germany,Juventus,RW,75,82,76456737,312329,Left,194,80,14,25,16,2020-10-14
60,Player_60,18,Portugal,Liverpool,CAM,78,83,3286965,190980,Right,188,84,34,9,18,2024-04-24
61,Player_61,21,Germany,Real Madrid,RB,66,67,101914189,238720,Right,199,70,36,18,0,2022-09-28
62,Player_62,18,Belgium,Barcelona,CM,92,95,41050115,413671,Right,182,66,20,5,0,2019-08-13
63,Player_63,19,Nigeria,Inter Milan,CM,82,85,95640276,116079,Left,190,82,21,21,4,2023-07-16
64,Player_64,31,Brazil,Bayern Munich,CM,89,90,95095027,324593,Right,189,65,29,34,20,2018-04-10
65,Player_65,32,Portugal,Bayern Munich,LB,78,78,107726631,58133,Right,175,84,43,10,10,2020-04-17
66,Player_66,28,Brazil,Juventus,CDM,82,90,39244848,144175,Right,184,69,49,11,1,2023-02-23
67,Player_67,16,Spain,Barcelona,RB,92,95,107478355,19570,Right,187,73,37,15,19,2023-04-17
68,Player_68,35,Germany,Bayern Munich,LB,87,90,59367938,97486,Left,200,95,30,16,15,2022-07-08
69,Player_69,26,France,Bayern Munich,GK,90,91,64825285,452738,Right,173,84,33,33,8,2018-08-26
70,Player_70,37,Spain,Juventus,RB,70,70,117363125,248302,Left,175,86,10,20,4,2020-11-28
71,Player_71,32,Brazil,Manchester City,ST,63,67,69297826,280772,Right,165,73,9,8,2,2021-12-11
72,Player_72,24,Nigeria,Barcelona,ST,88,89,119457379,252211,Left,166,72,26,12,2,2022-12-09
73,Player_73,22,Nigeria,Manchester City,CDM,57,65,55501988,276103,Left,184,85,4,35,9,2023-03-29
74,Player_74,37,England,Barcelona,CAM,59,64,10028379,360735,Left,172,88,0,24,15,2020-08-30
75,Player_75,25,Brazil,Arsenal,ST,91,92,61533507,405156,Right,183,84,34,19,10,2022-05-26
76,Player_76,33,Portugal,Barcelona,CM,60,64,25371160,105328,Left,182,90,46,21,14,2022-04-16
77,Player_77,18,England,Manchester City,LB,61,63,83495926,49990,Right,190,62,29,5,3,2020-07-17
78,Player_78,17,Argentina,PSG,CAM,65,66,58275635,213801,Right,178,69,44,24,15,2021-09-19
79,Player_79,29,Spain,Arsenal,ST,55,61,82338222,367439,Right,181,81,12,21,9,2022-12-13
80,Player_80,19,Spain,Chelsea,CB,90,95,27548904,267552,Right,181,94,19,35,7,2021-12-15
81,Player_81,35,France,Inter Milan,RB,87,95,19075948,301522,Right,177,65,8,15,15,2024-06-19
82,Player_82,29,Spain,Chelsea,LW,76,81,12365452,487595,Right,193,68,15,34,17,2024-04-15
83,Player_83,18,Spain,Liverpool,LB,90,94,22670339,477251,Right,165,78,43,23,7,2024-06-07
84,Player_84,27,Argentina,Juventus,GK,65,67,80256089,287734,Left,176,68,19,24,19,2024-08-21
85,Player_85,36,Nigeria,Real Madrid,LB,56,58,26831080,216509,Left,172,85,11,21,16,2019-06-23
86,Player_86,24,Brazil,Manchester City,CAM,70,75,7227030,336938,Left,171,90,22,26,19,2024-05-02
87,Player_87,40,Nigeria,Bayern Munich,CAM,81,85,65251531,466685,Right,172,93,21,33,16,2022-11-06
88,Player_88,29,Netherlands,Bayern Munich,CAM,56,61,7389129,155713,Left,184,64,15,7,14,2020-09-19
89,Player_89,32,Argentina,Inter Milan,RB,80,80,63899217,364830,Left,190,75,4,23,17,2022-09-23
90,Player_90,34,Portugal,Liverpool,CB,65,68,87225264,391945,Right,171,93,50,8,3,2024-01-11
91,Player_91,34,Germany,Real Madrid,CM,84,84,39792709,128389,Right,169,88,28,33,12,2019-08-02
92,Player_92,27,Brazil,Juventus,CM,92,95,6209201,161049,Left,185,91,9,30,6,2020-04-10
93,Player_93,25,Spain,Juventus,GK,58,61,42446292,439809,Right,200,72,34,15,6,2018-07-24
94,Player_94,36,Spain,Chelsea,CAM,61,65,97462265,429205,Right,186,88,26,5,5,2020-07-03
95,Player_95,25,France,Inter Milan,CDM,62,65,36147813,95404,Left,188,93,7,33,7,2021-05-17
96,Player_96,21,Argentina,Juventus,CB,69,73,17839762,336007,Left,198,64,33,2,0,2024-09-22
97,Player_97,34,Netherlands,Barcelona,LB,73,81,33725665,222508,Left,177,75,11,17,17,2018-04-29
98,Player_98,21,Netherlands,Bayern Munich,GK,64,64,83521712,242528,Left,168,71,4,35,20,2022-01-13
99,Player_99,26,Belgium,Inter Milan,RW,85,85,69405009,153302,Right,175,67,38,27,7,2022-12-10
100,Player_100,33,Belgium,Arsenal,ST,71,74,34903608,256938,Left,181,62,12,3,18,2023-01-11
101,Player_101,21,Netherlands,Juventus,CAM,75,77,81694751,9826,Left,181,61,4,7,5,2024-05-19
102,Player_102,36,Brazil,Chelsea,CAM,89,92,83697491,77167,Right,185,93,49,16,18,2023-08-04
103,Player_103,18,France,Manchester City,LW,87,89,50899980,134106,Left,168,80,26,29,11,2020-06-05
104,Player_104,38,Netherlands,Manchester City,LB,57,59,65754698,396550,Left,198,62,0,15,13,2023-11-23
105,Player_105,20,Nigeria,Bayern Munich,CB,60,66,74687240,156773,Right,179,78,16,7,17,2020-09-16
106,Player_106,29,Germany,PSG,ST,84,85,30549288,191340,Right,167,70,25,3,10,2024-05-13
107,Player_107,38,Portugal,Arsenal,CAM,92,94,62138523,451366,Left,168,73,26,22,7,2020-01-23
108,Player_108,33,France,Liverpool,LW,65,72,27382688,210331,Left,195,88,31,11,15,2020-04-17
109,Player_109,33,Germany,PSG,CDM,79,85,9818794,25226,Right,198,71,47,16,16,2022-05-29
110,Player_110,34,Brazil,Manchester City,CM,68,72,13929337,189819,Right,180,67,1,20,12,2023-01-17
111,Player_111,18,Belgium,Real Madrid,CDM,79,84,34446650,404575,Left,180,91,2,12,4,2023-10-06
112,Player_112,35,Portugal,Bayern Munich,LW,63,63,28037610,164224,Right,198,95,16,20,14,2022-03-25
113,Player_113,20,Nigeria,Bayern Munich,LB,68,72,71852913,374195,Left,198,82,14,6,9,2022-02-26
114,Player_114,27,Brazil,Juventus,ST,68,70,5511385,445205,Right,184,64,13,35,11,2019-05-16
115,Player_115,40,Germany,Barcelona,CAM,78,81,105183870,332122,Right,190,91,3,31,12,2021-09-06
116,Player_116,25,Portugal,Arsenal,LW,86,90,29796199,83649,Right,187,75,33,5,10,2022-09-26
117,Player_117,20,Belgium,Chelsea,GK,85,89,94186767,447682,Left,172,83,4,25,8,2018-08-12
118,Player_118,28,Spain,Chelsea,CB,86,90,62989959,377564,Right,167,82,20,23,18,2021-05-02
119,Player_119,24,Spain,PSG,GK,66,73,51644958,323072,Right,169,63,39,34,13,2022-08-30
120,Player_120,18,Nigeria,Bayern Munich,CAM,72,73,111397694,243751,Right,173,92,17,19,15,2022-01-16
121,Player_121,31,Germany,Arsenal,CDM,56,58,81307308,101401,Right,180,93,0,34,12,2018-01-15
122,Player_122,23,Belgium,Barcelona,ST,90,95,113997445,341375,Left,181,82,6,1,10,2020-05-01
123,Player_123,38,England,Manchester City,CM,80,82,25846330,432717,Left,183,83,26,18,11,2023-12-28
124,Player_124,31,England,Inter Milan,LB,70,73,48666513,170886,Right,169,66,45,19,3,2023-01-24
125,Player_125,32,Portugal,Juventus,GK,85,85,21869719,326386,Left,181,85,32,25,8,2020-10-28
126,Player_126,27,France,Liverpool,LB,75,77,44857189,449305,Left,173,77,10,8,6,2022-03-24
127,Player_127,35,Brazil,Juventus,ST,73,76,87560004,97307,Right,182,77,26,16,20,2022-06-13
128,Player_128,28,Argentina,Real Madrid,RB,63,63,21163120,374456,Left,187,94,7,25,10,2018-04-19
129,Player_129,33,Germany,Juventus,CDM,85,87,50171044,35826,Right,190,86,48,9,18,2022-05-14
130,Player_130,37,England,Juventus,LB,68,76,37992064,420018,Right,200,76,31,27,3,2019-09-15
131,Player_131,26,England,Chelsea,CAM,56,60,76006512,298733,Left,185,74,5,30,6,2022-02-07
132,Player_132,33,Argentina,Real Madrid,CDM,71,79,6926044,79989,Right,165,71,21,30,4,2020-04-08
133,Player_133,29,Belgium,Bayern Munich,RW,85,85,55693178,184735,Right,178,95,39,16,8,2020-02-12
134,Player_134,25,Brazil,Manchester City,GK,70,77,76722503,437608,Right,199,67,43,4,8,2022-01-10
135,Player_135,16,Nigeria,Real Madrid,RB,90,94,8498920,270112,Right,188,60,49,33,8,2020-09-30
136,Player_136,39,Belgium,Barcelona,LW,86,92,41382120,421544,Left,191,76,39,1,0,2024-06-20
137,Player_137,20,Spain,Inter Milan,CDM,69,74,52180170,380255,Left,193,82,19,17,2,2021-08-10
138,Player_138,35,England,Arsenal,GK,61,65,44986409,112494,Right,199,79,43,13,5,2021-11-24
139,Player_139,19,England,Bayern Munich,GK,64,66,50086265,184177,Right,190,92,3,25,3,2021-08-09
140,Player_140,33,Spain,Barcelona,ST,68,68,118226154,92021,Right,185,87,30,14,15,2022-07-31
141,Player_141,40,Portugal,PSG,LB,66,70,9438509,355555,Left,198,60,9,24,20,2018-08-15
142,Player_142,22,Portugal,Inter Milan,ST,77,84,114988370,375109,Right,172,89,27,29,13,2022-04-25
143,Player_143,32,Netherlands,Real Madrid,RW,69,75,80669958,284228,Right,198,88,28,18,18,2018-07-09
144,Player_144,35,Nigeria,PSG,CDM,58,63,20441589,282027,Left,177,90,35,25,1,2019-06-03
145,Player_145,40,England,Barcelona,CB,86,87,31473099,98503,Left,181,64,11,2,10,2020-10-23
146,Player_146,32,Brazil,Bayern Munich,RB,77,84,27890370,281685,Left,182,75,4,6,17,2022-12-10
147,Player_147,40,Nigeria,Real Madrid,RW,86,89,9735151,419914,Right,174,83,11,6,10,2018-05-31
148,Player_148,27,England,Liverpool,CAM,69,73,15807869,218621,Right,194,91,4,5,20,2020-04-26
149,Player_149,33,Portugal,Bayern Munich,GK,75,78,75207846,350933,Left,185,77,42,13,6,2020-01-11
150,Player_150,40,Nigeria,Real Madrid,LB,63,65,93164226,304868,Left,172,76,22,22,9,2020-03-14
151,Player_151,16,Spain,Chelsea,CAM,59,62,98868558,376792,Right,174,64,40,17,13,2022-03-15
152,Player_152,35,Belgium,Barcelona,CB,81,85,61359659,70636,Left,197,86,15,31,18,2019-04-27
153,Player_153,25,Nigeria,Arsenal,LW,62,66,114735316,41480,Left,177,86,38,14,14,2018-09-20
154,Player_154,27,Nigeria,Chelsea,CDM,81,86,37804469,306837,Right,180,60,26,23,4,2024-08-27
155,Player_155,24,Argentina,Liverpool,CB,79,85,37405665,179580,Right,194,73,5,23,0,2022-03-14
156,Player_156,16,Brazil,Manchester City,LW,92,95,109529724,498396,Right,188,70,29,32,10,2023-05-19
157,Player_157,37,Portugal,Bayern Munich,RB,93,93,29879452,11504,Right,168,64,29,25,20,2020-06-12
158,Player_158,32,England,Inter Milan,CAM,92,95,66802389,194437,Right,170,60,10,16,15,2019-05-06
159,Player_159,29,Spain,Real Madrid,CB,84,86,2170691,194966,Left,191,94,35,34,3,2019-01-22
160,Player_160,25,France,Manchester City,CB,87,88,9141787,298229,Left,183,82,49,15,7,2024-08-16
161,Player_161,29,Nigeria,Manchester City,RW,84,84,29261138,309238,Right,194,68,6,32,4,2019-08-13
162,Player_162,34,Netherlands,Barcelona,CAM,88,90,54601824,324516,Right,179,69,7,24,5,2021-04-19
163,Player_163,32,Germany,Inter Milan,GK,56,62,14848168,259203,Left,191,79,5,13,8,2024-01-08
164,Player_164,19,Belgium,Manchester City,ST,81,86,65681594,107281,Right,190,79,17,16,7,2022-02-15
165,Player_165,18,Portugal,PSG,LW,82,89,51677728,188446,Right,168,79,33,3,5,2023-12-03
166,Player_166,28,France,Barcelona,CM,90,95,53702239,429708,Right,185,83,30,14,16,2023-11-29
167,Player_167,31,Argentina,Real Madrid,ST,55,60,54623813,311553,Left,180,83,38,23,9,2020-05-09
168,Player_168,35,Nigeria,Barcelona,RW,92,92,42346360,96813,Left,168,65,13,16,18,2021-01-11
169,Player_169,29,Netherlands,Barcelona,CB,78,84,12100432,150326,Left,179,76,21,2,10,2019-09-04
170,Player_170,20,Nigeria,Real Madrid,CAM,73,77,7665570,400836,Right,200,68,21,1,19,2020-05-16
171,Player_171,34,Nigeria,Bayern Munich,CM,89,89,110617802,386855,Right,176,65,28,8,12,2023-01-08
172,Player_172,37,Argentina,Barcelona,CM,82,83,59777014,168229,Right,172,85,19,35,3,2020-05-14
173,Player_173,19,Argentina,Manchester City,CDM,81,86,72034786,73893,Left,191,62,27,24,6,2023-07-19
174,Player_174,31,Nigeria,Barcelona,RW,82,88,68705020,408703,Right,185,72,0,22,5,2021-12-03
175,Player_175,28,Nigeria,Liverpool,ST,92,95,91820361,204215,Left,187,69,30,25,10,2019-01-06
176,Player_176,38,Spain,Bayern Munich,ST,86,89,84927042,137477,Right,181,64,16,24,7,2020-05-23
177,Player_177,29,Belgium,Juventus,CAM,59,67,24170777,217430,Left,172,74,11,6,9,2023-08-13
178,Player_178,20,Belgium,Juventus,CM,57,62,76296015,84167,Left,174,88,48,22,9,2019-02-05
179,Player_179,23,Belgium,Liverpool,CM,64,67,26794661,451994,Right,175,72,37,10,11,2021-08-21
180,Player_180,27,Germany,Barcelona,RB,61,65,81683077,450136,Left,166,71,34,16,9,2021-03-19
181,Player_181,24,Argentina,Chelsea,GK,90,92,35298078,254711,Left,182,92,9,24,5,2024-02-08
182,Player_182,20,England,Inter Milan,ST,60,68,107454292,385283,Left,184,63,27,23,20,2024-02-01
183,Player_183,23,Spain,Arsenal,RW,85,92,92150776,194736,Left,187,74,4,35,3,2024-06-12
184,Player_184,37,Netherlands,Barcelona,RB,59,63,408921,53980,Left,184,82,9,3,2,2019-07-31
185,Player_185,16,Belgium,Inter Milan,CB,81,83,92007309,448931,Left,198,71,5,33,11,2023-08-06
186,Player_186,22,France,Barcelona,LW,61,67,18775131,255249,Right,200,95,5,8,9,2020-11-14
187,Player_187,26,England,Bayern Munich,GK,69,73,20335136,284254,Left,185,70,5,33,5,2018-05-11
188,Player_188,19,Brazil,Bayern Munich,GK,62,66,116691712,158203,Right,176,93,37,5,0,2022-03-01
189,Player_189,18,Portugal,PSG,CM,68,74,111904922,122152,Right,187,85,0,15,8,2018-07-15
190,Player_190,34,Belgium,PSG,LW,78,86,97072552,176336,Right,191,71,12,9,6,2020-11-04
191,Player_191,30,Spain,Manchester City,RB,85,88,105230886,482192,Left,198,76,36,1,5,2021-06-27
192,Player_192,23,France,Real Madrid,RB,59,63,68462501,173296,Right,170,92,15,28,6,2018-07-03
193,Player_193,29,Spain,Barcelona,CB,90,92,49809211,351644,Left,173,86,50,14,10,2020-04-27
194,Player_194,28,Argentina,Juventus,GK,73,81,79681147,495398,Right,196,62,24,4,13,2019-10-12
195,Player_195,20,Nigeria,Arsenal,CM,59,62,21503621,460894,Left,173,68,9,20,1,2020-02-29
196,Player_196,23,Nigeria,PSG,CM,63,66,118501134,445680,Right,182,69,4,11,11,2018-07-21
197,Player_197,19,Argentina,Chelsea,RW,74,79,24590535,305876,Left,198,76,5,5,20,2020-07-02
198,Player_198,16,Belgium,Manchester City,LB,59,63,102146541,490254,Left,171,78,30,29,11,2024-10-06
199,Player_199,31,Nigeria,Real Madrid,LW,84,84,25657609,77772,Left,199,63,18,10,1,2019-12-10
200,Player_200,28,Portugal,Juventus,ST,68,68,3304600,115705,Right,194,61,11,21,0,2019-11-13
201,Player_201,25,Netherlands,Inter Milan,CM,57,62,35024290,445059,Left,181,80,10,22,4,2024-06-30
202,Player_202,34,Nigeria,Chelsea,CM,81,87,72543805,308197,Left,179,70,29,32,17,2021-03-28
203,Player_203,40,Netherlands,Bayern Munich,LB,65,70,31606926,291452,Left,183,66,40,0,11,2023-05-18
204,Player_204,33,Belgium,Bayern Munich,GK,62,69,100073925,484189,Left,190,77,31,29,1,2019-01-04
205,Player_205,26,England,Real Madrid,CDM,86,93,8337352,336724,Left,168,65,17,3,7,2024-07-16
206,Player_206,28,Belgium,Barcelona,CAM,57,61,26209671,473842,Left,200,63,4,31,15,2019-09-13
207,Player_207,25,France,Arsenal,LW,75,83,67554128,180059,Left,173,75,46,17,9,2019-12-23
208,Player_208,19,Brazil,Real Madrid,RW,85,89,95928812,128472,Left,195,85,41,4,5,2019-03-25
209,Player_209,24,England,Liverpool,CDM,73,79,41742071,133788,Right,168,87,26,25,0,2024-05-20
210,Player_210,24,Spain,Real Madrid,GK,86,93,30245425,202075,Right,196,74,14,7,4,2023-10-14
211,Player_211,29,England,Real Madrid,CDM,75,82,36674965,362710,Right,186,81,3,1,9,2023-12-23
212,Player_212,34,Spain,Barcelona,CDM,74,81,103953317,30225,Right,198,91,4,2,3,2024-01-03
213,Player_213,17,France,Liverpool,CM,85,93,33575150,151654,Right,192,80,25,4,10,2018-08-02
214,Player_214,27,Belgium,Bayern Munich,RB,73,81,115459783,498004,Left,180,90,5,7,13,2022-11-09
215,Player_215,31,Belgium,Chelsea,ST,81,89,108584087,336654,Left,165,93,5,12,5,2018-08-22
216,Player_216,35,Netherlands,PSG,CDM,64,66,74042346,143406,Right,168,89,3,27,3,2023-04-29
217,Player_217,22,Brazil,Chelsea,LW,71,71,73921802,37746,Left,173,87,31,15,12,2020-09-09
218,Player_218,37,Netherlands,Manchester City,RB,81,81,11717323,373008,Right,195,85,1,24,2,2022-05-21
219,Player_219,39,Nigeria,Liverpool,CM,84,85,27961245,129052,Right,186,79,1,14,16,2024-06-21
220,Player_220,29,Argentina,Chelsea,LW,80,83,34600539,18265,Right,188,87,13,28,13,2021-07-16
221,Player_221,22,Netherlands,Barcelona,LW,56,62,117161537,159732,Left,200,89,42,24,16,2022-07-03
222,Player_222,37,Netherlands,Liverpool,LW,59,62,39812957,120434,Left,178,79,14,5,17,2024-07-31
223,Player_223,39,Portugal,PSG,CAM,76,82,2295660,440844,Left,170,84,14,25,9,2020-03-16
224,Player_224,39,Brazil,Arsenal,CAM,82,82,66910560,306149,Right,186,83,37,30,8,2020-11-15
225,Player_225,38,Brazil,Manchester City,ST,90,95,73105544,82876,Left,197,61,17,21,16,2023-07-22
226,Player_226,26,Germany,Bayern Munich,LB,65,72,89073082,255995,Right,168,89,29,33,17,2022-12-06
227,Player_227,34,Brazil,Barcelona,GK,56,60,47379279,227304,Left,199,70,44,23,6,2022-04-07
228,Player_228,38,Belgium,Inter Milan,GK,72,74,48156224,303714,Left,190,85,9,19,20,2020-10-19
229,Player_229,22,Argentina,Real Madrid,RB,66,66,15849743,477885,Left,166,91,3,1,9,2021-09-16
230,Player_230,22,France,Juventus,CM,78,83,45289341,425978,Right,193,78,38,32,11,2020-07-04
231,Player_231,33,Spain,Juventus,CAM,69,74,20212693,339934,Right,176,70,30,22,19,2021-11-27
232,Player_232,22,Brazil,Arsenal,LW,75,78,64355207,191485,Right,169,94,37,1,3,2021-08-20
233,Player_233,17,Netherlands,Inter Milan,CAM,92,95,102281988,258387,Right,171,86,1,11,17,2021-01-21
234,Player_234,17,Germany,Arsenal,RW,64,69,7259531,245579,Right,187,75,23,0,7,2021-04-11
235,Player_235,25,Germany,Bayern Munich,ST,71,71,2228386,191475,Right,182,71,7,10,3,2023-04-06
236,Player_236,37,Netherlands,Juventus,RW,87,90,41910753,286250,Right,191,84,23,32,8,2023-04-04
237,Player_237,30,France,Chelsea,GK,88,95,105891795,421636,Left,184,85,2,2,19,2023-02-12
238,Player_238,25,Belgium,Juventus,CM,88,91,49373993,455904,Left,170,85,32,35,7,2024-07-04
239,Player_239,36,Belgium,PSG,RW,67,68,14749159,129960,Left,197,95,19,2,9,2023-10-18
240,Player_240,27,England,Bayern Munich,CB,59,67,15169596,7519,Left,200,87,37,34,18,2018-08-18
241,Player_241,34,France,Juventus,RB,66,67,62325289,390875,Left,199,81,36,1,0,2020-06-20
242,Player_242,39,Germany,PSG,LB,68,69,32633965,399949,Right,176,76,12,14,5,2018-08-23
243,Player_243,27,Brazil,Manchester City,LW,57,59,106215359,106283,Left,181,71,20,7,19,2018-01-28
244,Player_244,37,Germany,Bayern Munich,LB,57,61,51435205,461323,Left,196,62,15,17,8,2020-03-30
245,Player_245,37,France,Bayern Munich,CDM,60,61,33835555,98265,Right,189,80,31,0,1,2022-08-08
246,Player_246,31,Germany,Real Madrid,CB,92,95,16427516,278876,Right,188,83,35,21,12,2019-08-31
247,Player_247,34,Brazil,Juventus,ST,93,95,27421996,262765,Right,193,72,31,2,2,2024-02-01
248,Player_248,17,France,Bayern Munich,ST,63,66,51527507,245758,Left,175,83,46,3,11,2018-10-02
249,Player_249,20,Brazil,Arsenal,CAM,72,74,82613591,20182,Right,170,62,8,21,19,2018-06-03
250,Player_250,34,France,Juventus,CB,62,65,38527268,94842,Left,177,64,40,33,5,2018-10-17
251,Player_251,21,Portugal,Liverpool,RW,89,95,55048276,78941,Right,189,60,30,19,1,2018-04-26
252,Player_252,22,Netherlands,Bayern Munich,CDM,76,76,56799913,465916,Left,173,70,24,23,3,2018-06-17
253,Player_253,24,Argentina,Manchester City,CAM,73,77,39351085,128661,Left,181,67,35,7,13,2022-01-23
254,Player_254,34,Nigeria,Chelsea,ST,93,95,31477452,440497,Right,181,85,31,5,4,2018-09-12
255,Player_255,29,Netherlands,Bayern Munich,RB,92,95,28035833,169754,Left,193,61,16,11,11,2023-09-05
256,Player_256,38,Germany,Arsenal,CAM,93,95,72832313,445683,Left,165,67,0,0,20,2021-09-06
