InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
540098,85123A,White Hanging Heart,10,2024-06-02 14:17:00,69.66,10396,Germany,696.6
540099,71053,Coffee Mug,3,2023-05-26 23:33:00,87.85,10268,France,263.55
540100,71053,Coffee Mug,20,2024-06-04 08:56:00,123.3,10115,Netherlands,2466.0
540101,84406B,Storage Box,8,2024-05-12 12:01:00,75.44,10162,United Kingdom,603.52
540102,22423,LED Lamp,15,2023-05-25 13:22:00,61.7,10385,France,925.5
540103,85123A,White Hanging Heart,11,2023-12-13 12:07:00,1.76,10962,Germany,19.36
540104,90019,Water Bottle,1,2023-10-24 08:23:00,135.38,10066,Nigeria,135.38
540105,22423,LED Lamp,19,2024-03-14 08:54:00,12.85,10049,France,244.15
540106,85123A,White Hanging Heart,2,2023-10-20 20:59:00,125.45,10152,Germany,250.9
540107,84406B,Storage Box,14,2023-07-14 11:50:00,77.38,10979,Nigeria,1083.32
540108,85123A,White Hanging Heart,13,2024-07-21 17:13:00,137.14,10736,United Kingdom,1782.82
540109,85123A,White Hanging Heart,14,2023-05-22 20:55:00,68.45,10293,Nigeria,958.3
540110,85123A,White Hanging Heart,18,2024-04-28 13:21:00,20.41,10288,France,367.38
540111,84406B,Storage Box,9,2023-09-02 09:30:00,61.82,10570,Netherlands,556.38
540112,22423,LED Lamp,4,2023-06-15 02:13:00,26.35,10512,Ireland,105.4
540113,22423,LED Lamp,18,2023-12-07 14:27:00,34.17,10142,Spain,615.06
540114,71053,Coffee Mug,8,2023-12-17 17:05:00,14.97,10326,Germany,119.76
540115,84406B,Storage Box,9,2023-07-26 00:47:00,121.69,10891,Nigeria,1095.21
540116,22423,LED Lamp,14,2023-08-04 12:17:00,112.26,10346,Ireland,1571.64
540117,85123A,White Hanging Heart,16,2024-01-04 04:43:00,42.71,10515,Spain,683.36
540118,90019,Water Bottle,7,2023-09-12 12:25:00,15.25,10661,Nigeria,106.75
540119,22423,LED Lamp,10,2023-01-23 04:02:00,127.53,10435,Netherlands,1275.3
540120,22752,Gift Bag,16,2024-05-16 00:04:00,145.29,10400,Ireland,2324.64
540121,47566,Notebook,15,2023-09-12 03:14:00,145.88,10158,Germany,2188.2
540122,47566,Notebook,4,2024-12-18 20:54:00,141.31,10783,Nigeria,565.24
540123,85123A,White Hanging Heart,18,2023-01-02 04:14:00,116.86,10583,United Kingdom,2103.48
540124,90019,Water Bottle,10,2024-10-03 08:33:00,144.42,10651,Nigeria,1444.2
540125,90019,Water Bottle,4,2023-11-04 16:37:00,16.27,10196,Nigeria,65.08
540126,84406B,Storage Box,8,2023-01-02 00:34:00,118.89,10308,Nigeria,951.12
540127,84406B,Storage Box,11,2023-09-06 15:33:00,97.22,10240,Spain,1069.42
540128,71053,Coffee Mug,1,2024-12-22 20:19:00,144.15,10056,United Kingdom,144.15
540129,71053,Coffee Mug,16,2024-10-24 13:05:00,132.9,10263,Germany,2126.4
540130,90019,Water Bottle,14,2023-08-21 15:02:00,138.89,10712,France,1944.46
540131,90019,Water Bottle,14,2024-02-10 06:00:00,55.3,10816,France,774.2
540132,90019,Water Bottle,17,2024-05-22 06:19:00,11.51,10784,Ireland,195.67
540133,71053,Coffee Mug,8,2023-09-29 09:06:00,70.57,10974,Spain,564.56
540134,22423,LED Lamp,20,2023-08-17 15:26:00,29.32,10932,Netherlands,586.4
540135,85123A,White Hanging Heart,20,2024-02-07 01:13:00,23.24,10024,Spain,464.8
540136,71053,Coffee Mug,14,2023-03-03 05:25:00,9.2,10460,Netherlands,128.8
540137,84406B,Storage Box,4,2023-06-19 10:12:00,149.63,10189,Netherlands,598.52
540138,47566,Notebook,15,2024-11-11 23:24:00,6.24,10859,France,93.6
540139,84406B,Storage Box,15,2023-01-03 02:17:00,26.64,10082,France,399.6
540140,22423,LED Lamp,4,2023-08-01 12:22:00,84.83,10787,Ireland,339.32
540141,84406B,Storage Box,14,2024-12-23 15:12:00,14.53,10381,Spain,203.42
540142,22423,LED Lamp,7,2024-04-30 00:40:00,49.51,10420,Germany,346.57
540143,22752,Gift Bag,13,2023-02-05 14:04:00,7.54,10822,United Kingdom,98.02
540144,84406B,Storage Box,7,2024-09-12 10:23:00,112.47,10278,France,787.29
540145,47566,Notebook,2,2024-12-07 10:59:00,40.43,10282,France,80.86
540146,85123A,White Hanging Heart,20,2024-10-11 02:01:00,137.59,10845,Germany,2751.8
540147,85123A,White Hanging Heart,16,2024-04-21 12:50:00,107.76,10257,Nigeria,1724.16
540148,22752,Gift Bag,16,2024-05-23 05:00:00,21.21,10821,Netherlands,339.36
540149,84406B,Storage Box,5,2023-12-02 10:29:00,91.68,10370,Ireland,458.4
540150,22752,Gift Bag,20,2023-07-22 12:48:00,13.23,10163,Germany,264.6
540151,22423,LED Lamp,3,2024-05-08 17:34:00,97.96,10333,Germany,293.88
540152,22423,LED Lamp,4,2023-09-29 19:05:00,148.19,10213,United Kingdom,592.76
540153,22423,LED Lamp,16,2024-04-02 05:14:00,148.28,10136,Nigeria,2372.48
540154,22423,LED Lamp,20,2023-08-29 23:34:00,133.85,10867,Ireland,2677.0
540155,90019,Water Bottle,4,2023-10-28 09:17:00,117.29,10580,France,469.16
540156,84406B,Storage Box,9,2023-07-23 14:15:00,111.1,10190,Germany,999.9
540157,71053,Coffee Mug,5,2024-08-15 06:20:00,43.28,10066,Nigeria,216.4
540158,84406B,Storage Box,8,2023-08-25 20:51:00,76.84,10102,Netherlands,614.72
540159,22423,LED Lamp,2,2024-05-01 07:53:00,16.7,10459,France,33.4
540160,85123A,White Hanging Heart,10,2023-02-21 06:38:00,36.08,10996,Ireland,360.8
540161,47566,Notebook,7,2024-01-17 16:55:00,139.63,10182,Nigeria,977.41
540162,47566,Notebook,9,2024-11-11 00:06:00,116.59,10652,Spain,1049.31
540163,90019,Water Bottle,20,2023-02-08 11:21:00,53.43,10144,United Kingdom,1068.6
540164,71053,Coffee Mug,9,2024-10-29 06:52:00,7.18,10011,Ireland,64.62
540165,84406B,Storage Box,14,2023-07-09 19:19:00,102.23,10079,Germany,1431.22
540166,85123A,White Hanging Heart,16,2023-03-06 13:06:00,82.88,10814,Nigeria,1326.08
540167,90019,Water Bottle,18,2024-06-30 02:41:00,24.45,10167,Nigeria,440.1
540168,90019,Water Bottle,9,2023-10-18 21:19:00,62.35,10427,United Kingdom,561.15
540169,84406B,Storage Box,19,2024-02-29 13:01:00,132.73,10884,Ireland,2521.87
540170,22752,Gift Bag,12,2024-02-05 23:25:00,97.21,10208,United Kingdom,1166.52
540171,22423,LED Lamp,6,2023-04-03 12:36:00,64.43,10904,France,386.58
540172,22423,LED Lamp,6,2023-02-22 17:09:00,20.8,10656,Ireland,124.8
540173,22423,LED Lamp,3,2024-01-15 23:32:00,86.57,10175,Germany,259.71
540174,84406B,Storage Box,10,2023-06-25 02:06:00,25.53,10392,Nigeria,255.3
540175,22752,Gift Bag,7,2023-02-14 15:20:00,46.29,10054,Spain,324.03
540176,90019,Water Bottle,13,2024-12-30 19:44:00,14.31,10844,Germany,186.03
540177,90019,Water Bottle,8,2024-09-21 06:53:00,93.73,10484,Germany,749.84
540178,47566,Notebook,7,2024-06-14 05:24:00,7.69,10367,United Kingdom,53.83
540179,71053,Coffee Mug,8,2023-07-17 01:56:00,145.65,10575,Ireland,1165.2
540180,22752,Gift Bag,2,2023-11-28 03:24:00,100.68,10613,Nigeria,201.36
540181,47566,Notebook,10,2023-11-12 18:15:00,97.88,10435,Nigeria,978.8
540182,90019,Water Bottle,12,2024-03-24 05:01:00,67.85,10003,Spain,814.2
540183,22423,LED Lamp,15,2024-09-25 14:53:00,36.43,10183,Ireland,546.45
540184,22423,LED Lamp,13,2023-05-12 11:27:00,17.4,10374,United Kingdom,226.2
540185,22752,Gift Bag,15,2024-11-03 01:02:00,76.39,10651,Germany,1145.85
540186,85123A,White Hanging Heart,11,2024-06-07 02:03:00,116.98,10770,Spain,1286.78
540187,22423,LED Lamp,5,2023-03-09 19:46:00,5.34,10709,Ireland,26.7
540188,85123A,White Hanging Heart,7,2024-05-18 09:51:00,21.05,10938,Ireland,147.35
540189,71053,Coffee Mug,8,2023-12-26 19:48:00,11.23,10258,Germany,89.84
540190,84406B,Storage Box,20,2024-04-12 04:16:00,42.34,10514,Nigeria,846.8
540191,71053,Coffee Mug,19,2024-06-02 07:20:00,40.54,10381,United Kingdom,770.26
540192,71053,Coffee Mug,6,2024-10-13 08:43:00,61.41,10335,Nigeria,368.46
540193,71053,Coffee Mug,9,2024-06-27 01:40:00,18.59,10878,France,167.31
540194,22752,Gift Bag,15,2024-08-16 22:56:00,83.94,10917,United Kingdom,1259.1
540195,84406B,Storage Box,18,2024-02-08 23:51:00,95.02,10380,France,1710.36
540196,22423,LED Lamp,12,2024-01-04 10:48:00,87.24,10083,Nigeria,1046.88
540197,71053,Coffee Mug,6,2023-02-19 09:52:00,92.88,10528,France,557.28
540198,84406B,Storage Box,19,2023-11-17 23:00:00,139.38,10765,United Kingdom,2648.22
540199,71053,Coffee Mug,5,2024-10-02 13:26:00,44.71,10524,France,223.55
540200,85123A,White Hanging Heart,5,2024-09-19 20:02:00,74.03,10022,United Kingdom,370.15
540201,85123A,White Hanging Heart,19,2023-04-19 16:22:00,54.21,10546,Germany,1029.99
540202,22423,LED Lamp,19,2023-05-17 06:23:00,46.22,10638,Ireland,878.18
540203,22423,LED Lamp,6,2023-09-07 22:09:00,21.51,10461,United Kingdom,129.06
540204,85123A,White Hanging Heart,5,2023-10-04 12:51:00,130.89,10270,United Kingdom,654.45
540205,85123A,White Hanging Heart,18,2024-08-31 20:37:00,134.06,10454,Spain,2413.08
540206,47566,Notebook,16,2023-01-01 01:03:00,38.4,10544,United Kingdom,614.4
540207,22423,LED Lamp,6,2023-03-01 03:00:00,36.79,10627,Spain,220.74
540208,90019,Water Bottle,7,2023-07-24 16:38:00,22.63,10658,Spain,158.41
540209,90019,Water Bottle,14,2023-06-28 16:19:00,122.29,10065,France,1712.06
540210,90019,Water Bottle,2,2024-05-04 22:34:00,149.12,10006,Nigeria,298.24
540211,22752,Gift Bag,14,2024-04-21 02:47:00,112.16,10671,Nigeria,1570.24
540212,71053,Coffee Mug,8,2023-09-25 07:41:00,149.5,10039,United Kingdom,1196.0
540213,84406B,Storage Box,9,2023-09-30 20:35:00,107.19,10695,Nigeria,964.71
540214,90019,Water Bottle,17,2023-10-30 20:59:00,145.83,10988,Germany,2479.11
540215,85123A,White Hanging Heart,17,2023-09-24 07:53:00,3.76,10761,Germany,63.92
540216,71053,Coffee Mug,11,2024-02-03 10:38:00,30.0,10244,Nigeria,330.0
540217,22752,Gift Bag,18,2024-06-27 22:00:00,71.22,10878,United Kingdom,1281.96
540218,22423,LED Lamp,8,2023-11-12 06:25:00,86.2,10637,Spain,689.6
540219,85123A,White Hanging Heart,19,2023-05-29 01:01:00,136.75,10114,United Kingdom,2598.25
540220,47566,Notebook,6,2023-05-26 22:01:00,52.71,10031,United Kingdom,316.26
540221,71053,Coffee Mug,2,2023-02-17 02:54:00,105.01,10604,Ireland,210.02
540222,84406B,Storage Box,7,2024-06-30 21:04:00,122.91,10900,Ireland,860.37
540223,22752,Gift Bag,13,2023-07-30 06:07:00,17.41,10034,United Kingdom,226.33
540224,22752,Gift Bag,3,2024-10-08 20:18:00,124.02,10488,United Kingdom,372.06
540225,71053,Coffee Mug,4,2024-10-23 06:18:00,119.11,10326,France,476.44
540226,22423,LED Lamp,9,2023-09-20 09:03:00,4.61,10732,Ireland,41.49
540227,84406B,Storage Box,11,2024-09-08 16:30:00,115.73,10871,France,1273.03
540228,47566,Notebook,1,2023-02-01 13:33:00,118.67,10791,United Kingdom,118.67
540229,84406B,Storage Box,16,2024-07-04 18:13:00,106.14,10731,Ireland,1698.24
540230,22752,Gift Bag,3,2023-10-22 05:27:00,86.82,10001,Spain,260.46
540231,71053,Coffee Mug,10,2023-02-25 00:22:00,114.68,10502,United Kingdom,1146.8
540232,22423,LED Lamp,6,2024-08-29 11:53:00,145.12,10527,France,870.72
540233,47566,Notebook,6,2023-08-08 22:14:00,43.63,10510,Germany,261.78
540234,85123A,White Hanging Heart,3,2024-12-14 17:50:00,74.31,10107,Netherlands,222.93
540235,84406B,Storage Box,12,2024-02-09 23:05:00,15.63,10432,Netherlands,187.56
540236,85123A,White Hanging Heart,12,2023-09-27 13:57:00,32.11,10558,Spain,385.32
540237,71053,Coffee Mug,13,2024-10-07 07:29:00,147.39,10129,Spain,1916.07
540238,47566,Notebook,20,2023-12-23 18:20:00,97.48,10534,Germany,1949.6
540239,22752,Gift Bag,15,2023-11-28 05:29:00,99.82,10449,Netherlands,1497.3
540240,22752,Gift Bag,9,2023-05-10 10:29:00,87.51,10658,Netherlands,787.59
540241,71053,Coffee Mug,17,2023-11-05 22:52:00,29.95,10863,Spain,509.15
540242,71053,Coffee Mug,5,2023-12-01 19:33:00,146.25,10356,Germany,731.25
540243,71053,Coffee Mug,11,2023-09-22 23:06:00,143.44,10168,Netherlands,1577.84
540244,85123A,White Hanging Heart,7,2023-06-01 09:46:00,58.56,10304,Nigeria,409.92
540245,84406B,Storage Box,7,2023-04-20 08:13:00,17.73,10906,Nigeria,124.11
540246,22423,LED Lamp,2,2024-03-23 22:14:00,3.37,10512,Netherlands,6.74
540247,84406B,Storage Box,15,2023-09-21 19:47:00,4.78,10414,United Kingdom,71.7
540248,90019,Water Bottle,8,2024-03-16 22:36:00,136.34,10601,Netherlands,1090.72
540249,90019,Water Bottle,14,2024-11-14 23:41:00,127.13,10901,Ireland,1779.82
540250,90019,Water Bottle,19,2024-11-26 05:41:00,128.09,10127,Nigeria,2433.71
540251,22423,LED Lamp,11,2024-12-18 03:57:00,40.08,10429,Germany,440.88
540252,22752,Gift Bag,13,2024-10-06 05:16:00,107.4,10869,Nigeria,1396.2
540253,22423,LED Lamp,15,2024-02-24 16:43:00,4.42,10676,Ireland,66.3
540254,71053,Coffee Mug,11,2024-02-03 15:58:00,117.06,10998,United Kingdom,1287.66
540255,85123A,White Hanging Heart,9,2023-06-14 22:50:00,82.19,10974,Germany,739.71
540256,47566,Notebook,12,2024-08-11 14:34:00,16.51,10209,Netherlands,198.12
540257,22423,LED Lamp,17,2024-01-14 16:21:00,3.89,10420,Netherlands,66.13
540258,22423,LED Lamp,7,2023-07-08 12:32:00,148.56,10781,United Kingdom,1039.92
540259,90019,Water Bottle,20,2023-02-27 08:17:00,54.29,10391,Nigeria,1085.8
540260,85123A,White Hanging Heart,1,2024-03-06 20:44:00,12.66,10691,France,12.66
540261,47566,Notebook,9,2023-11-07 23:25:00,17.72,10962,Spain,159.48
540262,71053,Coffee Mug,13,2023-06-18 04:59:00,70.12,10795,United Kingdom,911.56
540263,22752,Gift Bag,7,2024-07-29 23:14:00,71.17,10834,Germany,498.19
540264,84406B,Storage Box,14,2023-10-29 17:41:00,71.01,10128,Ireland,994.14
540265,22752,Gift Bag,16,2023-08-24 08:45:00,54.18,10385,Netherlands,866.88
540266,84406B,Storage Box,14,2024-05-08 00:51:00,102.3,10739,Ireland,1432.2
540267,84406B,Storage Box,12,2023-11-06 10:30:00,37.88,10496,Nigeria,454.56
540268,47566,Notebook,3,2024-01-07 04:59:00,99.4,10310,Ireland,298.2
540269,22423,LED Lamp,2,2024-08-01 10:50:00,14.16,10965,Germany,28.32
540270,47566,Notebook,12,2023-01-16 21:00:00,95.52,10214,United Kingdom,1146.24
540271,90019,Water Bottle,10,2023-04-14 18:09:00,38.63,10874,Germany,386.3
540272,71053,Coffee Mug,15,2023-06-06 06:57:00,52.95,10412,Ireland,794.25
540273,47566,Notebook,6,2024-12-05 19:50:00,92.01,10092,Netherlands,552.06
540274,47566,Notebook,10,2024-12-10 06:33:00,30.81,10080,Netherlands,308.1
540275,22752,Gift Bag,15,2023-04-30 17:07:00,101.18,10270,Nigeria,1517.7
540276,71053,Coffee Mug,5,2024-07-24 01:30:00,71.78,10478,Germany,358.9
540277,90019,Water Bottle,16,2023-06-18 17:38:00,38.12,10883,Netherlands,609.92
540278,85123A,White Hanging Heart,6,2024-04-24 22:36:00,126.35,10509,Netherlands,758.1
540279,84406B,Storage Box,15,2024-03-04 21:04:00,57.18,10184,Netherlands,857.7
540280,84406B,Storage Box,1,2023-02-16 21:47:00,4.55,10953,France,4.55
540281,22752,Gift Bag,4,2024-05-11 04:02:00,77.33,10218,Netherlands,309.32
540282,22423,LED Lamp,5,2024-11-05 11:21:00,51.78,10485,Ireland,258.9
540283,47566,Notebook,18,2023-08-04 09:27:00,115.93,10350,Nigeria,2086.74
540284,84406B,Storage Box,18,2023-10-24 09:22:00,9.33,10847,Nigeria,167.94
540285,22423,LED Lamp,11,2023-10-06 16:22:00,76.31,10998,Germany,839.41
540286,90019,Water Bottle,16,2023-12-05 06:20:00,119.1,10730,France,1905.6
540287,71053,Coffee Mug,19,2023-03-31 01:25:00,145.95,10740,Spain,2773.05
540288,22423,LED Lamp,18,2024-02-13 09:06:00,86.75,10006,United Kingdom,1561.5
540289,71053,Coffee Mug,16,2024-11-04 01:50:00,91.89,10512,Spain,1470.24
540290,47566,Notebook,13,2024-10-03 21:44:00,93.08,10705,Spain,1210.04
540291,90019,Water Bottle,3,2024-11-14 20:29:00,33.06,10640,Ireland,99.18
540292,71053,Coffee Mug,4,2023-02-07 13:49:00,100.05,10103,Netherlands,400.2
540293,85123A,White Hanging Heart,12,2023-05-23 09:35:00,130.98,10727,France,1571.76
540294,22752,Gift Bag,10,2023-02-05 10:01:00,28.94,10441,Spain,289.4
540295,90019,Water Bottle,19,2023-02-25 15:36:00,140.18,10534,United Kingdom,2663.42
540296,22752,Gift Bag,4,2024-03-07 18:44:00,116.41,10940,Nigeria,465.64
540297,22423,LED Lamp,3,2024-02-01 19:37:00,3.6,10960,Netherlands,10.8
540298,71053,Coffee Mug,16,2024-07-15 03:05:00,115.83,10659,Nigeria,1853.28
540299,71053,Coffee Mug,5,2024-03-13 00:00:00,94.59,10700,Netherlands,472.95
540300,85123A,White Hanging Heart,3,2023-05-05 04:30:00,33.91,10018,France,101.73
540301,90019,Water Bottle,19,2023-07-11 01:23:00,37.48,10792,Netherlands,712.12
540302,90019,Water Bottle,5,2023-03-28 09:40:00,109.86,10570,Netherlands,549.3
540303,22423,LED Lamp,15,2023-09-18 01:45:00,100.93,10032,United Kingdom,1513.95
540304,85123A,White Hanging Heart,1,2024-12-04 19:05:00,132.67,10398,France,132.67
540305,84406B,Storage Box,20,2024-05-13 19:03:00,26.15,10323,France,523.0
540306,47566,Notebook,15,2023-06-20 04:51:00,71.27,10119,France,1069.05
540307,90019,Water Bottle,6,2024-03-03 15:24:00,95.01,10796,Ireland,570.06
540308,22423,LED Lamp,9,2024-08-03 10:18:00,118.02,10286,United Kingdom,1062.18
540309,47566,Notebook,20,2024-09-12 23:00:00,50.81,10851,Germany,1016.2
540310,47566,Notebook,10,2023-09-10 12:24:00,88.32,10701,Nigeria,883.2
