Property_ID,City,Region,Property_Type,Bedrooms,Bathrooms,Size_sqft,Year_Built,Listing_Type,Days_On_Market,Garage,Swimming_Pool,Garden,Price,Agent_Name
121,Abuja,East,Villa,4,5,1032,2006,Rent,50,Yes,No,No,277960.0,Agent_21
122,Lagos,North,Bungalow,5,2,5771,1999,Rent,107,Yes,No,Yes,1186750.0,Agent_22
123,Ibadan,North,Duplex,4,2,5721,2007,Rent,9,Yes,Yes,Yes,739615.0,Agent_23
124,Enugu,West,Villa,2,2,1398,2011,Rent,233,Yes,Yes,No,287935.0,Agent_24
125,Port Harcourt,North,Bungalow,5,2,3154,2008,Rent,188,No,No,Yes,596033.0,Agent_25
126,Kano,North,Villa,4,1,1969,1990,Sale,323,No,No,Yes,271792.0,Agent_26
127,Ibadan,South,Duplex,4,5,3420,2013,Sale,309,No,No,Yes,474017.0,Agent_27
128,Port Harcourt,West,Bungalow,5,1,1752,2025,Sale,338,No,No,Yes,353007.0,Agent_28
129,Port Harcourt,South,Duplex,2,4,1269,2014,Rent,110,No,No,Yes,303088.0,Agent_29
130,Lagos,East,Bungalow,4,4,1333,2025,Sale,145,Yes,Yes,Yes,477902.0,Agent_30
131,Port Harcourt,North,Duplex,5,5,2709,2020,Rent,228,No,Yes,No,578891.0,Agent_31
132,Enugu,East,Villa,6,4,5149,2020,Rent,309,No,No,No,843677.0,Agent_32
133,Ibadan,South,Villa,6,2,3924,1991,Sale,114,No,No,No,598000.0,Agent_33
134,Port Harcourt,North,Duplex,2,1,1591,2008,Rent,63,No,No,No,329239.0,Agent_34
135,Lagos,North,Duplex,5,2,1696,2001,Sale,275,Yes,No,No,536512.0,Agent_35
136,Enugu,South,Duplex,6,4,4414,1999,Rent,124,Yes,No,Yes,743936.0,Agent_36
137,Abuja,South,Bungalow,5,1,2160,2020,Sale,86,Yes,No,Yes,458758.0,Agent_37
138,Ibadan,South,Villa,4,2,5154,2011,Sale,70,No,No,Yes,669165.0,Agent_38
139,Port Harcourt,South,Bungalow,2,5,760,2012,Sale,47,Yes,No,No,229601.0,Agent_39
140,Lagos,South,Villa,6,2,2764,2012,Sale,199,Yes,Yes,No,716858.0,Agent_40
141,Abuja,North,Apartment,7,4,5743,2004,Rent,364,No,No,Yes,1180905.0,Agent_41
142,Abuja,South,Bungalow,4,1,5400,2015,Sale,201,No,No,No,1148196.0,Agent_42
143,Kano,North,Villa,7,5,1685,1992,Rent,276,No,Yes,Yes,314966.0,Agent_43
144,Enugu,North,Villa,7,1,2949,2012,Sale,37,Yes,No,Yes,481809.0,Agent_44
145,Port Harcourt,South,Bungalow,1,5,4033,2009,Sale,203,No,No,Yes,654737.0,Agent_45
146,Lagos,South,Bungalow,1,1,4870,1997,Sale,130,Yes,No,No,973688.0,Agent_46
147,Kano,West,Villa,2,4,4801,2007,Rent,292,Yes,No,No,551285.0,Agent_47
148,Enugu,North,Bungalow,6,5,3844,1995,Sale,64,Yes,Yes,Yes,597088.0,Agent_48
149,Kano,South,Duplex,6,3,1366,2016,Sale,263,Yes,No,Yes,218826.0,Agent_49
150,Ibadan,South,Bungalow,6,1,592,2025,Rent,120,Yes,No,No,142742.0,Agent_50
151,Enugu,South,Bungalow,5,1,5661,2004,Sale,278,No,No,No,814085.0,Agent_1
152,Enugu,West,Bungalow,4,2,3678,1994,Rent,202,Yes,Yes,No,565426.0,Agent_2
153,Port Harcourt,West,Villa,6,5,1851,1998,Sale,46,Yes,No,No,494963.0,Agent_3
154,Enugu,East,Duplex,4,3,864,1996,Sale,168,Yes,No,Yes,168174.0,Agent_4
155,Kano,North,Apartment,2,4,5416,2009,Sale,110,Yes,Yes,Yes,649914.0,Agent_5
156,Enugu,East,Apartment,7,2,4218,1999,Rent,46,Yes,Yes,No,657969.0,Agent_6
157,Port Harcourt,South,Duplex,6,3,2424,2015,Sale,212,No,Yes,No,586769.0,Agent_7
158,Port Harcourt,West,Duplex,2,5,3595,1993,Sale,28,Yes,Yes,No,698841.0,Agent_8
159,Ibadan,West,Duplex,6,3,5681,2013,Sale,87,Yes,No,No,776289.0,Agent_9
160,Kano,East,Villa,1,1,3038,2003,Rent,291,Yes,Yes,Yes,389944.0,Agent_10
161,Abuja,West,Apartment,3,1,1796,1990,Rent,157,Yes,Yes,No,337719.0,Agent_11
162,Abuja,South,Duplex,2,2,2776,2006,Rent,265,No,Yes,No,499626.0,Agent_12
163,Enugu,West,Villa,6,5,5639,2013,Rent,265,Yes,No,Yes,884463.0,Agent_13
164,Ibadan,East,Apartment,3,5,502,2016,Rent,22,Yes,Yes,No,113298.0,Agent_14
165,Lagos,South,Bungalow,2,3,3992,1996,Rent,256,Yes,No,Yes,918947.0,Agent_15
166,Enugu,East,Villa,5,2,2253,1998,Sale,191,Yes,No,Yes,381172.0,Agent_16
167,Ibadan,West,Apartment,6,5,1410,2024,Sale,232,No,Yes,Yes,265462.0,Agent_17
168,Kano,East,Villa,5,1,806,2001,Sale,186,No,No,No,201799.0,Agent_18
169,Kano,East,Apartment,1,3,4731,2010,Sale,326,No,Yes,Yes,510844.0,Agent_19
170,Kano,North,Apartment,6,4,4515,1992,Sale,183,Yes,Yes,No,556410.0,Agent_20
171,Kano,West,Bungalow,7,1,1938,2004,Rent,202,No,No,No,341376.0,Agent_21
172,Kano,West,Villa,1,2,1372,2010,Rent,65,No,No,Yes,199680.0,Agent_22
173,Ibadan,East,Duplex,3,5,1641,1999,Rent,43,No,No,Yes,262983.0,Agent_23
174,Ibadan,North,Bungalow,2,1,1165,2022,Sale,221,No,No,Yes,161284.0,Agent_24
175,Port Harcourt,West,Bungalow,4,4,708,1995,Rent,17,No,Yes,No,277862.0,Agent_25
176,Abuja,South,Apartment,1,4,1451,1991,Sale,324,Yes,No,No,391974.0,Agent_26
177,Kano,East,Duplex,4,2,1557,2018,Rent,285,No,No,Yes,224438.0,Agent_27
178,Lagos,West,Villa,4,1,5244,2022,Sale,183,No,No,No,1083782.0,Agent_28
179,Ibadan,South,Duplex,2,3,5937,1993,Rent,44,No,No,Yes,741242.0,Agent_29
180,Lagos,West,Duplex,3,1,5222,1993,Sale,188,Yes,Yes,No,1098643.0,Agent_30
181,Lagos,South,Duplex,2,4,5120,2018,Rent,263,Yes,Yes,No,1035222.0,Agent_31
182,Lagos,East,Duplex,6,2,4508,2009,Sale,174,No,No,No,1068046.0,Agent_32
183,Port Harcourt,West,Duplex,1,2,2368,2012,Rent,54,Yes,No,No,435607.0,Agent_33
184,Ibadan,West,Apartment,4,3,5364,2007,Sale,220,Yes,Yes,Yes,755366.0,Agent_34
185,Lagos,North,Apartment,2,2,1271,2014,Sale,46,No,Yes,Yes,250683.0,Agent_35
186,Kano,East,Bungalow,2,2,5335,1990,Sale,260,Yes,Yes,Yes,616448.0,Agent_36
187,Enugu,South,Apartment,2,2,4530,2004,Sale,195,No,Yes,No,699098.0,Agent_37
188,Lagos,West,Bungalow,1,2,1021,2023,Rent,347,No,No,No,177912.0,Agent_38
189,Port Harcourt,West,Bungalow,3,2,3855,2009,Rent,61,No,No,Yes,649776.0,Agent_39
190,Ibadan,South,Villa,7,4,1900,2016,Rent,166,Yes,Yes,Yes,333251.0,Agent_40
191,Port Harcourt,East,Duplex,2,1,4238,2011,Sale,160,No,Yes,Yes,675882.0,Agent_41
192,Lagos,North,Apartment,1,5,4843,1994,Rent,151,No,No,No,1016541.0,Agent_42
193,Ibadan,North,Villa,4,2,4223,2023,Sale,111,Yes,No,Yes,614122.0,Agent_43
194,Enugu,West,Apartment,6,5,5937,1992,Rent,37,No,Yes,Yes,953810.0,Agent_44
195,Lagos,South,Bungalow,7,5,3747,2006,Sale,3,Yes,No,Yes,881965.0,Agent_45
196,Port Harcourt,West,Apartment,5,4,2358,2013,Rent,13,Yes,Yes,Yes,567371.0,Agent_46
197,Abuja,South,Duplex,7,2,5281,2013,Sale,162,No,No,Yes,1197435.0,Agent_47
198,Kano,North,Bungalow,7,5,4564,1992,Sale,344,Yes,No,Yes,657330.0,Agent_48
199,Port Harcourt,East,Bungalow,1,2,5181,1996,Rent,332,No,Yes,Yes,865691.0,Agent_49
200,Ibadan,South,Villa,5,3,2898,2014,Rent,264,Yes,No,Yes,429160.0,Agent_50
201,Lagos,North,Duplex,2,3,642,1992,Rent,83,Yes,Yes,Yes,151322.0,Agent_1
202,Kano,West,Bungalow,2,3,5562,2004,Sale,265,Yes,No,No,606726.0,Agent_2
203,Lagos,South,Duplex,7,5,3351,2018,Sale,334,Yes,Yes,Yes,941968.0,Agent_3
204,Ibadan,East,Apartment,1,3,3969,2018,Sale,219,No,Yes,Yes,539625.0,Agent_4
205,Lagos,West,Duplex,5,4,4195,1999,Rent,146,No,Yes,Yes,920824.0,Agent_5
206,Abuja,West,Bungalow,2,4,1217,2021,Sale,298,Yes,No,No,316454.0,Agent_6
207,Kano,North,Villa,4,5,1142,2012,Rent,297,No,Yes,No,209298.0,Agent_7
208,Kano,South,Bungalow,3,2,3940,1998,Sale,161,No,Yes,Yes,511566.0,Agent_8
209,Ibadan,West,Duplex,3,1,3048,2003,Rent,229,No,No,No,406860.0,Agent_9
210,Abuja,East,Duplex,2,2,4193,1993,Sale,234,No,No,No,881829.0,Agent_10
211,Port Harcourt,South,Bungalow,5,2,869,2009,Sale,89,No,Yes,Yes,216736.0,Agent_11
212,Lagos,East,Duplex,6,2,4150,2017,Rent,333,No,Yes,No,1032986.0,Agent_12
213,Enugu,West,Apartment,2,2,5705,2003,Sale,310,No,No,No,784902.0,Agent_13
214,Lagos,East,Bungalow,6,1,1286,2023,Sale,215,Yes,No,Yes,441363.0,Agent_14
215,Lagos,North,Villa,6,3,1449,2002,Rent,97,No,No,Yes,509245.0,Agent_15
216,Port Harcourt,East,Bungalow,5,2,5944,2020,Sale,213,Yes,Yes,No,1057801.0,Agent_16
217,Lagos,South,Apartment,6,4,1021,2022,Rent,354,Yes,No,Yes,348198.0,Agent_17
218,Abuja,East,Apartment,4,5,3443,2017,Rent,312,Yes,Yes,Yes,819002.0,Agent_18
219,Abuja,East,Apartment,5,5,854,2014,Sale,100,No,Yes,Yes,305010.0,Agent_19
220,Kano,North,Apartment,2,4,5542,2021,Sale,145,No,Yes,No,665302.0,Agent_20
221,Ibadan,East,Apartment,7,2,2835,1998,Sale,10,Yes,No,Yes,482263.0,Agent_21
222,Enugu,East,Villa,4,1,1982,2017,Rent,44,Yes,No,No,296524.0,Agent_22
223,Lagos,West,Duplex,1,3,2147,2020,Sale,251,No,No,No,547429.0,Agent_23
224,Lagos,West,Apartment,3,5,3545,2006,Rent,227,No,Yes,Yes,879656.0,Agent_24
225,Port Harcourt,South,Apartment,2,3,5131,2012,Sale,249,No,Yes,No,809171.0,Agent_25
226,Ibadan,West,Bungalow,2,1,5910,2002,Sale,169,Yes,No,Yes,710124.0,Agent_26
227,Abuja,West,Villa,2,5,2715,1999,Rent,130,Yes,No,Yes,532522.0,Agent_27
228,Enugu,West,Villa,4,3,5545,2005,Sale,19,No,Yes,Yes,868476.0,Agent_28
229,Kano,West,Duplex,1,1,5216,1995,Sale,336,No,Yes,Yes,620771.0,Agent_29
230,Abuja,North,Villa,7,3,927,2000,Sale,235,Yes,Yes,Yes,376101.0,Agent_30
231,Ibadan,West,Bungalow,5,2,3037,1992,Sale,345,No,Yes,No,453449.0,Agent_31
232,Kano,North,Bungalow,1,1,1044,2017,Sale,1,No,No,No,165442.0,Agent_32
233,Port Harcourt,North,Duplex,4,3,3264,2004,Rent,130,Yes,Yes,Yes,594870.0,Agent_33
234,Port Harcourt,West,Bungalow,2,2,5419,2002,Sale,27,Yes,Yes,No,841651.0,Agent_34
235,Lagos,East,Apartment,3,2,4265,2006,Rent,2,Yes,No,No,896163.0,Agent_35
236,Ibadan,North,Apartment,2,1,5598,1996,Sale,250,Yes,No,No,739931.0,Agent_36
237,Enugu,East,Bungalow,5,4,1158,2017,Sale,222,No,No,No,324482.0,Agent_37
238,Kano,East,Duplex,6,5,3327,2002,Rent,138,Yes,No,Yes,479664.0,Agent_38
239,Abuja,West,Villa,3,1,2558,2006,Sale,275,No,Yes,Yes,564753.0,Agent_39
240,Ibadan,South,Duplex,2,2,3827,2004,Sale,141,No,Yes,Yes,532266.0,Agent_40
241,Ibadan,West,Villa,7,2,1230,2025,Rent,256,No,Yes,No,245644.0,Agent_41
242,Port Harcourt,South,Bungalow,3,1,2332,2017,Rent,312,Yes,Yes,No,462118.0,Agent_42
243,Lagos,South,Bungalow,6,4,908,2004,Sale,95,Yes,Yes,Yes,431994.0,Agent_43
244,Lagos,West,Apartment,1,5,4679,2000,Rent,173,No,No,Yes,907227.0,Agent_44
245,Kano,West,Villa,4,3,3747,2020,Rent,57,No,No,No,504173.0,Agent_45
246,Port Harcourt,South,Duplex,2,1,5302,1993,Rent,102,Yes,Yes,Yes,857601.0,Agent_46
247,Ibadan,West,Bungalow,5,5,633,2024,Rent,169,No,No,No,142940.0,Agent_47
248,Enugu,South,Duplex,1,5,5383,2023,Sale,70,No,Yes,Yes,794642.0,Agent_48
249,Port Harcourt,East,Apartment,2,2,5459,2016,Sale,338,No,Yes,Yes,889703.0,Agent_49
250,Kano,West,Villa,1,3,1166,1999,Rent,49,No,Yes,No,196097.0,Agent_50
251,Kano,East,Villa,5,1,776,2019,Sale,347,No,Yes,Yes,153868.0,Agent_1
252,Port Harcourt,North,Bungalow,2,2,3807,2009,Rent,5,No,Yes,Yes,625910.0,Agent_2
253,Kano,East,Villa,6,2,1381,2018,Sale,202,No,No,Yes,224546.0,Agent_3
254,Port Harcourt,East,Bungalow,6,4,2560,2018,Sale,202,No,No,Yes,544998.0,Agent_4
255,Abuja,South,Apartment,5,5,2582,2012,Rent,179,Yes,Yes,Yes,706161.0,Agent_5
256,Port Harcourt,East,Villa,3,1,1737,2010,Rent,57,Yes,Yes,Yes,355290.0,Agent_6
257,Port Harcourt,West,Bungalow,5,1,2952,1999,Sale,186,No,No,No,587630.0,Agent_7
258,Kano,South,Duplex,3,1,658,2001,Sale,92,No,Yes,No,111553.0,Agent_8
259,Kano,North,Bungalow,2,2,5729,2019,Sale,292,Yes,Yes,No,665039.0,Agent_9
260,Lagos,West,Villa,3,4,3096,2022,Rent,227,Yes,Yes,No,637714.0,Agent_10
261,Lagos,North,Apartment,2,3,4315,2007,Sale,112,Yes,No,No,874589.0,Agent_11
262,Abuja,East,Villa,2,2,4874,2003,Rent,148,No,Yes,Yes,873849.0,Agent_12
263,Lagos,West,Villa,7,3,3026,2011,Rent,269,Yes,Yes,Yes,738120.0,Agent_13
264,Port Harcourt,West,Bungalow,4,4,610,2010,Rent,203,Yes,No,No,264788.0,Agent_14
265,Kano,North,Duplex,2,5,1041,1990,Sale,348,No,Yes,Yes,137714.0,Agent_15
266,Lagos,West,Villa,3,1,1638,2004,Rent,358,Yes,Yes,Yes,437939.0,Agent_16
267,Lagos,West,Duplex,4,3,3783,2025,Sale,56,No,No,Yes,849675.0,Agent_17
268,Abuja,West,Bungalow,4,2,4110,2011,Rent,301,Yes,No,Yes,791618.0,Agent_18
269,Ibadan,East,Duplex,2,3,4955,2021,Sale,316,Yes,Yes,Yes,607084.0,Agent_19
270,Abuja,North,Bungalow,5,5,4057,2022,Sale,185,Yes,No,No,927138.0,Agent_20
271,Port Harcourt,West,Apartment,5,1,2919,2012,Rent,54,Yes,Yes,No,529031.0,Agent_21
272,Kano,South,Duplex,6,3,5834,1991,Rent,37,Yes,Yes,Yes,772934.0,Agent_22
273,Abuja,South,Duplex,4,5,2256,1991,Sale,211,No,No,No,586246.0,Agent_23
