Order ID,Order Date,Ship Mode,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-100114,2023-04-12,Second Class,Customer 441,Corporate,East,Technology,Accessories,Accessories Model 523,1590.33,6,0.0,451.27
ORD-100115,2024-03-01,First Class,Customer 384,Consumer,South,Office Supplies,Paper,Paper Model 168,1464.63,2,0.2,76.22
ORD-100116,2024-03-18,Standard Class,Customer 601,Home Office,Central,Furniture,Chairs,Chairs Model 786,211.2,2,0.2,47.58
ORD-100117,2024-11-12,Standard Class,Customer 295,Home Office,Central,Office Supplies,Paper,Paper Model 460,1883.44,2,0.3,434.4
ORD-100118,2023-08-06,Standard Class,Customer 359,Home Office,Central,Technology,Copiers,Copiers Model 217,326.37,5,0.3,-19.29
ORD-100119,2024-03-15,Standard Class,Customer 624,Home Office,Central,Technology,Phones,Phones Model 129,1693.41,3,0.5,128.88
ORD-100120,2023-11-13,Second Class,Customer 580,Home Office,South,Office Supplies,Storage,Storage Model 171,1844.64,3,0.2,-253.18
ORD-100121,2023-02-01,Same Day,Customer 465,Corporate,East,Technology,Copiers,Copiers Model 478,201.68,5,0.5,-20.81
ORD-100122,2024-08-04,Standard Class,Customer 691,Consumer,Central,Technology,Accessories,Accessories Model 553,1200.52,7,0.0,-36.0
ORD-100123,2024-03-28,Standard Class,Customer 354,Corporate,West,Office Supplies,Storage,Storage Model 390,840.08,10,0.1,184.59
ORD-100124,2024-11-14,Standard Class,Customer 8,Consumer,Central,Office Supplies,Storage,Storage Model 316,630.67,3,0.1,36.5
ORD-100125,2023-12-02,Second Class,Customer 133,Corporate,East,Office Supplies,Paper,Paper Model 612,257.57,9,0.3,45.37
ORD-100126,2023-03-15,Same Day,Customer 80,Corporate,South,Technology,Accessories,Accessories Model 687,806.2,7,0.0,77.64
ORD-100127,2024-03-03,First Class,Customer 176,Home Office,South,Technology,Copiers,Copiers Model 951,593.24,6,0.3,-89.35
ORD-100128,2023-04-19,Standard Class,Customer 406,Corporate,Central,Furniture,Tables,Tables Model 326,501.77,6,0.5,-9.93
ORD-100129,2024-06-06,First Class,Customer 360,Home Office,East,Furniture,Chairs,Chairs Model 341,1273.78,2,0.5,37.55
ORD-100130,2023-07-22,Standard Class,Customer 182,Home Office,South,Furniture,Tables,Tables Model 575,363.53,10,0.1,80.74
ORD-100131,2024-11-28,First Class,Customer 643,Corporate,East,Technology,Accessories,Accessories Model 550,1849.83,2,0.5,165.28
ORD-100132,2024-10-08,First Class,Customer 520,Consumer,Central,Office Supplies,Paper,Paper Model 572,619.58,8,0.2,78.15
ORD-100133,2024-01-13,Standard Class,Customer 630,Home Office,South,Furniture,Chairs,Chairs Model 573,1666.76,10,0.0,316.85
ORD-100134,2023-02-12,First Class,Customer 620,Corporate,East,Technology,Copiers,Copiers Model 163,910.47,8,0.5,84.97
ORD-100135,2023-03-28,Same Day,Customer 450,Home Office,East,Furniture,Tables,Tables Model 472,1019.01,6,0.1,-104.33
ORD-100136,2024-02-23,First Class,Customer 68,Corporate,West,Office Supplies,Paper,Paper Model 671,1553.44,7,0.5,-274.08
ORD-100137,2024-11-03,First Class,Customer 84,Home Office,East,Office Supplies,Paper,Paper Model 458,1929.53,5,0.5,372.35
ORD-100138,2024-11-09,Standard Class,Customer 318,Home Office,South,Technology,Copiers,Copiers Model 758,796.08,6,0.5,94.71
ORD-100139,2024-12-20,Same Day,Customer 521,Corporate,West,Furniture,Bookcases,Bookcases Model 471,1661.34,5,0.5,-262.4
ORD-100140,2023-12-16,Second Class,Customer 159,Consumer,Central,Furniture,Chairs,Chairs Model 964,1896.38,2,0.3,-139.57
ORD-100141,2024-06-23,Second Class,Customer 612,Corporate,East,Technology,Copiers,Copiers Model 266,94.74,3,0.2,24.1
ORD-100142,2023-06-19,Second Class,Customer 455,Home Office,Central,Technology,Copiers,Copiers Model 870,1447.94,8,0.0,122.91
ORD-100143,2023-09-02,Second Class,Customer 377,Home Office,South,Furniture,Bookcases,Bookcases Model 572,632.75,5,0.3,156.16
ORD-100144,2024-06-24,Second Class,Customer 257,Consumer,South,Office Supplies,Storage,Storage Model 995,848.95,6,0.1,210.2
ORD-100145,2024-12-29,Second Class,Customer 280,Corporate,East,Technology,Phones,Phones Model 950,1694.87,7,0.0,47.93
ORD-100146,2024-04-06,Same Day,Customer 515,Corporate,East,Furniture,Chairs,Chairs Model 495,1771.57,2,0.0,153.6
ORD-100147,2023-01-29,First Class,Customer 150,Consumer,West,Office Supplies,Binders,Binders Model 393,651.0,8,0.0,180.74
ORD-100148,2024-12-23,Standard Class,Customer 20,Corporate,East,Technology,Phones,Phones Model 955,948.84,3,0.5,-187.53
ORD-100149,2024-09-15,Second Class,Customer 309,Consumer,West,Technology,Copiers,Copiers Model 344,1064.99,7,0.0,265.48
ORD-100150,2024-04-13,Standard Class,Customer 648,Home Office,East,Technology,Copiers,Copiers Model 835,144.36,3,0.3,15.67
ORD-100151,2023-01-02,Second Class,Customer 681,Home Office,West,Office Supplies,Paper,Paper Model 636,1237.32,6,0.1,169.26
ORD-100152,2024-07-11,Same Day,Customer 482,Consumer,South,Furniture,Bookcases,Bookcases Model 482,1024.51,5,0.5,50.58
ORD-100153,2024-01-01,Standard Class,Customer 791,Home Office,Central,Technology,Phones,Phones Model 236,1581.27,1,0.2,-49.8
ORD-100154,2023-12-13,Same Day,Customer 713,Corporate,East,Office Supplies,Storage,Storage Model 930,1630.75,3,0.1,413.68
ORD-100155,2024-04-13,Second Class,Customer 43,Corporate,Central,Furniture,Bookcases,Bookcases Model 627,93.23,7,0.1,-9.35
ORD-100156,2023-09-17,Standard Class,Customer 672,Corporate,Central,Technology,Accessories,Accessories Model 227,92.51,6,0.1,0.81
ORD-100157,2024-03-26,Second Class,Customer 509,Home Office,South,Office Supplies,Paper,Paper Model 476,1791.38,9,0.3,-13.32
ORD-100158,2024-03-10,Second Class,Customer 559,Corporate,Central,Office Supplies,Binders,Binders Model 205,176.28,2,0.5,43.68
ORD-100159,2023-10-30,Second Class,Customer 707,Corporate,Central,Office Supplies,Storage,Storage Model 557,626.86,1,0.5,77.07
ORD-100160,2024-09-21,Standard Class,Customer 77,Home Office,South,Technology,Accessories,Accessories Model 472,1996.34,9,0.2,294.98
ORD-100161,2023-06-13,Same Day,Customer 36,Consumer,West,Technology,Copiers,Copiers Model 341,1906.52,6,0.1,499.32
ORD-100162,2024-08-03,First Class,Customer 381,Corporate,West,Office Supplies,Paper,Paper Model 687,84.12,3,0.1,15.61
ORD-100163,2024-02-12,Standard Class,Customer 27,Home Office,East,Technology,Accessories,Accessories Model 611,642.48,9,0.2,-17.78
ORD-100164,2023-05-01,Second Class,Customer 627,Corporate,South,Office Supplies,Storage,Storage Model 304,538.32,2,0.2,95.18
ORD-100165,2024-04-07,First Class,Customer 684,Corporate,West,Furniture,Chairs,Chairs Model 663,361.86,9,0.3,104.49
ORD-100166,2023-06-11,Second Class,Customer 125,Consumer,East,Office Supplies,Paper,Paper Model 342,1429.38,8,0.1,339.0
ORD-100167,2024-07-21,Second Class,Customer 627,Consumer,West,Furniture,Tables,Tables Model 416,1153.11,7,0.3,232.52
ORD-100168,2024-05-05,Standard Class,Customer 129,Corporate,West,Technology,Copiers,Copiers Model 560,1060.88,8,0.3,223.32
ORD-100169,2023-12-19,Second Class,Customer 787,Consumer,South,Technology,Copiers,Copiers Model 614,274.1,1,0.5,24.1
ORD-100170,2023-06-06,Second Class,Customer 355,Home Office,Central,Furniture,Bookcases,Bookcases Model 966,622.17,2,0.1,15.68
ORD-100171,2024-10-12,First Class,Customer 630,Home Office,West,Office Supplies,Binders,Binders Model 614,1913.58,3,0.2,-160.12
ORD-100172,2023-06-07,First Class,Customer 578,Consumer,West,Technology,Copiers,Copiers Model 183,358.98,1,0.5,44.62
ORD-100173,2023-09-29,Standard Class,Customer 510,Home Office,Central,Technology,Copiers,Copiers Model 757,1309.24,5,0.5,-16.41
ORD-100174,2024-12-02,Standard Class,Customer 162,Corporate,South,Office Supplies,Binders,Binders Model 595,824.06,8,0.3,-104.79
ORD-100175,2024-09-13,First Class,Customer 409,Consumer,Central,Furniture,Tables,Tables Model 627,304.46,9,0.2,57.97
ORD-100176,2023-09-05,Second Class,Customer 100,Consumer,Central,Furniture,Tables,Tables Model 493,943.62,10,0.2,58.8
ORD-100177,2023-06-13,Second Class,Customer 782,Consumer,South,Office Supplies,Binders,Binders Model 627,1630.69,8,0.5,203.03
ORD-100178,2024-05-24,Second Class,Customer 221,Home Office,Central,Office Supplies,Paper,Paper Model 149,65.89,1,0.3,4.44
ORD-100179,2024-09-03,Standard Class,Customer 111,Corporate,East,Office Supplies,Paper,Paper Model 370,1767.03,6,0.3,-55.51
ORD-100180,2023-02-16,First Class,Customer 567,Corporate,West,Office Supplies,Paper,Paper Model 495,813.15,9,0.5,42.95
ORD-100181,2023-10-14,Standard Class,Customer 132,Consumer,South,Office Supplies,Storage,Storage Model 482,1654.12,6,0.5,175.63
ORD-100182,2023-05-28,Standard Class,Customer 47,Consumer,East,Technology,Accessories,Accessories Model 830,414.13,6,0.5,-8.02
ORD-100183,2024-04-12,First Class,Customer 167,Corporate,Central,Office Supplies,Storage,Storage Model 707,314.9,6,0.5,-43.17
ORD-100184,2024-06-29,Standard Class,Customer 378,Corporate,West,Technology,Copiers,Copiers Model 526,989.9,10,0.5,-64.44
ORD-100185,2024-12-05,Second Class,Customer 739,Consumer,South,Office Supplies,Storage,Storage Model 274,1265.94,9,0.5,17.17
ORD-100186,2024-09-26,Second Class,Customer 33,Home Office,West,Technology,Copiers,Copiers Model 295,1553.72,1,0.3,-145.27
ORD-100187,2024-03-04,Same Day,Customer 754,Home Office,West,Office Supplies,Paper,Paper Model 822,319.83,3,0.1,20.68
ORD-100188,2024-07-28,First Class,Customer 178,Corporate,Central,Technology,Phones,Phones Model 659,663.6,6,0.3,50.74
ORD-100189,2024-11-28,Second Class,Customer 253,Corporate,Central,Technology,Copiers,Copiers Model 330,1293.75,5,0.2,174.05
ORD-100190,2023-08-01,First Class,Customer 574,Home Office,Central,Office Supplies,Storage,Storage Model 394,1386.68,2,0.3,-24.03
ORD-100191,2024-07-10,Second Class,Customer 298,Consumer,Central,Technology,Copiers,Copiers Model 831,771.79,2,0.3,160.74
ORD-100192,2024-11-02,First Class,Customer 576,Home Office,Central,Office Supplies,Paper,Paper Model 240,527.76,2,0.3,-33.62
ORD-100193,2024-08-23,Second Class,Customer 654,Consumer,West,Technology,Copiers,Copiers Model 202,493.78,7,0.0,99.46
ORD-100194,2024-04-28,Second Class,Customer 417,Home Office,South,Office Supplies,Storage,Storage Model 588,219.08,4,0.1,-25.78
ORD-100195,2023-10-20,Second Class,Customer 548,Home Office,West,Office Supplies,Paper,Paper Model 279,1298.88,7,0.0,251.38
ORD-100196,2024-02-11,First Class,Customer 39,Consumer,Central,Furniture,Chairs,Chairs Model 681,1580.16,10,0.1,476.38
ORD-100197,2023-10-19,Second Class,Customer 517,Corporate,Central,Furniture,Tables,Tables Model 297,919.61,2,0.5,33.05
ORD-100198,2024-04-14,First Class,Customer 303,Home Office,East,Office Supplies,Binders,Binders Model 279,1303.6,10,0.1,-148.17
ORD-100199,2024-03-13,Standard Class,Customer 190,Consumer,South,Technology,Accessories,Accessories Model 431,1040.26,4,0.0,83.61
ORD-100200,2024-01-28,First Class,Customer 597,Home Office,West,Furniture,Tables,Tables Model 367,486.33,6,0.2,140.7
ORD-100201,2023-03-05,Same Day,Customer 703,Home Office,Central,Technology,Phones,Phones Model 806,1342.22,2,0.3,-29.44
ORD-100202,2024-01-12,Same Day,Customer 157,Corporate,Central,Technology,Accessories,Accessories Model 525,1236.96,9,0.1,384.46
ORD-100203,2024-11-11,Standard Class,Customer 539,Corporate,Central,Office Supplies,Storage,Storage Model 179,1654.69,10,0.1,308.03
ORD-100204,2024-07-14,Second Class,Customer 169,Corporate,South,Furniture,Chairs,Chairs Model 219,1807.72,4,0.1,248.95
ORD-100205,2024-05-15,Standard Class,Customer 465,Consumer,South,Technology,Copiers,Copiers Model 567,200.06,10,0.5,0.09
ORD-100206,2024-04-18,Same Day,Customer 261,Consumer,East,Furniture,Bookcases,Bookcases Model 692,1352.08,2,0.2,250.78
ORD-100207,2023-12-19,Standard Class,Customer 484,Consumer,Central,Furniture,Tables,Tables Model 518,1406.76,3,0.5,347.97
ORD-100208,2024-10-23,Same Day,Customer 460,Corporate,South,Furniture,Bookcases,Bookcases Model 182,1928.29,9,0.2,591.57
ORD-100209,2023-12-23,Second Class,Customer 746,Consumer,West,Furniture,Bookcases,Bookcases Model 874,254.89,1,0.5,-5.89
ORD-100210,2024-11-20,Second Class,Customer 254,Corporate,Central,Office Supplies,Paper,Paper Model 258,1443.81,5,0.3,114.6
ORD-100211,2023-04-26,Standard Class,Customer 247,Consumer,West,Furniture,Bookcases,Bookcases Model 203,83.79,10,0.3,9.78
