EmployeeID,Age,Gender,Department,JobRole,Education,MaritalStatus,MonthlyIncome,YearsAtCompany,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,OverTime,BusinessTravel,DistanceFromHome,Attrition
EMP00087,21,Female,Human Resources,Manager,Master,Divorced,12244,11,1,1,2,Yes,Non-Travel,10,No
EMP00088,21,Male,Research & Development,Research Scientist,High School,Single,3782,26,1,3,3,No,Non-Travel,17,No
EMP00089,55,Female,Human Resources,Research Scientist,Bachelor,Married,17561,34,2,2,1,No,Non-Travel,23,No
EMP00090,58,Male,Human Resources,Manager,PhD,Married,2376,28,1,3,4,Yes,Travel_Frequently,30,Yes
EMP00091,18,Male,Sales,HR Executive,High School,Married,8083,15,2,2,1,No,Non-Travel,1,No
EMP00092,51,Female,Human Resources,Research Scientist,Master,Single,11839,9,1,4,1,Yes,Travel_Rarely,28,No
EMP00093,59,Female,Sales,Research Scientist,High School,Married,9611,29,1,1,3,No,Travel_Frequently,30,Yes
EMP00094,53,Female,Human Resources,HR Executive,Master,Married,9110,3,1,1,2,No,Travel_Rarely,29,No
EMP00095,38,Male,Research & Development,Manager,Bachelor,Married,19575,12,4,4,1,Yes,Non-Travel,14,No
EMP00096,31,Female,Human Resources,HR Executive,High School,Divorced,7621,36,2,1,1,Yes,Non-Travel,4,No
EMP00097,19,Male,Sales,Research Scientist,High School,Divorced,4222,22,1,1,3,Yes,Non-Travel,27,No
EMP00098,31,Male,Sales,Sales Executive,High School,Divorced,4866,24,3,4,1,Yes,Non-Travel,4,Yes
EMP00099,45,Female,Sales,Manager,Master,Married,3586,18,3,3,4,Yes,Travel_Rarely,20,No
EMP00100,51,Male,Research & Development,Laboratory Technician,High School,Divorced,9096,26,1,3,2,Yes,Travel_Rarely,1,Yes
EMP00101,21,Male,Research & Development,Laboratory Technician,High School,Married,8046,18,4,3,3,Yes,Travel_Frequently,6,No
EMP00102,32,Female,Sales,Sales Executive,High School,Married,5426,13,3,3,1,No,Travel_Rarely,30,No
EMP00103,59,Male,Research & Development,Research Scientist,Master,Married,16026,5,2,4,2,No,Travel_Rarely,5,No
EMP00104,51,Male,Research & Development,Developer,Master,Single,17176,22,4,3,2,Yes,Non-Travel,11,No
EMP00105,35,Female,Human Resources,HR Executive,Bachelor,Divorced,7111,15,2,3,3,No,Non-Travel,8,No
EMP00106,24,Male,Human Resources,Sales Executive,Bachelor,Married,6946,12,2,3,3,No,Travel_Rarely,9,No
EMP00107,24,Female,Sales,Laboratory Technician,PhD,Single,2413,6,4,4,2,Yes,Travel_Frequently,21,No
EMP00108,34,Female,Sales,Developer,Bachelor,Married,15800,29,2,2,2,No,Travel_Frequently,4,Yes
EMP00109,58,Male,Research & Development,Research Scientist,PhD,Divorced,7126,27,3,4,4,No,Travel_Rarely,1,No
EMP00110,29,Female,Sales,Laboratory Technician,PhD,Single,3249,33,3,2,2,No,Travel_Frequently,26,No
EMP00111,54,Female,Human Resources,Research Scientist,PhD,Divorced,2527,33,3,3,4,Yes,Travel_Frequently,15,No
EMP00112,25,Female,Human Resources,Sales Executive,Master,Married,14512,11,4,1,1,Yes,Non-Travel,14,No
EMP00113,40,Female,Sales,Research Scientist,Master,Divorced,15122,40,2,4,4,No,Non-Travel,6,No
EMP00114,48,Male,Sales,Manager,PhD,Married,11645,4,2,4,3,Yes,Non-Travel,9,No
EMP00115,29,Female,Sales,Developer,Master,Married,10027,16,3,3,4,No,Travel_Rarely,14,No
EMP00116,37,Female,Sales,Sales Executive,Master,Single,19388,23,3,1,1,Yes,Non-Travel,3,No
EMP00117,55,Male,Sales,Research Scientist,PhD,Married,7002,16,2,4,2,No,Travel_Frequently,29,No
EMP00118,37,Male,Research & Development,Developer,Bachelor,Divorced,4576,35,4,1,1,Yes,Travel_Rarely,14,No
EMP00119,53,Male,Research & Development,Laboratory Technician,Bachelor,Divorced,18101,8,2,4,2,Yes,Travel_Frequently,20,No
EMP00120,47,Female,Human Resources,Manager,PhD,Married,15953,10,4,1,2,Yes,Travel_Frequently,12,No
EMP00121,39,Male,Human Resources,Laboratory Technician,PhD,Single,3110,1,2,4,2,Yes,Travel_Rarely,4,No
EMP00122,51,Male,Research & Development,Laboratory Technician,Master,Married,10243,21,1,3,3,No,Travel_Rarely,27,No
EMP00123,35,Female,Sales,Developer,PhD,Single,12842,25,2,3,3,No,Non-Travel,19,No
EMP00124,53,Female,Human Resources,HR Executive,High School,Married,11843,2,1,1,1,Yes,Non-Travel,27,Yes
EMP00125,21,Female,Human Resources,Research Scientist,High School,Single,3293,38,4,2,1,No,Travel_Frequently,6,No
EMP00126,59,Male,Research & Development,Research Scientist,Master,Divorced,10454,26,3,2,4,Yes,Non-Travel,11,No
EMP00127,55,Male,Research & Development,HR Executive,High School,Single,15797,27,4,4,1,Yes,Non-Travel,22,No
EMP00128,60,Male,Research & Development,Laboratory Technician,High School,Single,17472,38,2,2,1,No,Travel_Rarely,1,No
EMP00129,23,Male,Sales,Research Scientist,PhD,Single,11025,7,2,4,2,Yes,Non-Travel,12,No
EMP00130,53,Female,Research & Development,Developer,Master,Single,3047,5,1,1,1,Yes,Travel_Frequently,22,No
EMP00131,56,Male,Research & Development,HR Executive,High School,Married,14044,24,4,4,2,Yes,Non-Travel,26,No
EMP00132,28,Female,Research & Development,Laboratory Technician,PhD,Married,12940,23,3,3,1,Yes,Travel_Frequently,21,No
EMP00133,18,Male,Human Resources,Manager,PhD,Single,14342,38,4,4,2,No,Travel_Rarely,10,No
EMP00134,45,Male,Human Resources,Sales Executive,Master,Single,6816,20,3,4,3,Yes,Travel_Frequently,3,No
EMP00135,32,Female,Human Resources,Sales Executive,PhD,Married,8769,24,3,1,4,No,Travel_Rarely,18,No
EMP00136,22,Male,Research & Development,HR Executive,Master,Divorced,12518,34,4,2,2,Yes,Non-Travel,7,No
EMP00137,36,Female,Human Resources,HR Executive,Master,Married,18948,11,2,2,1,Yes,Travel_Rarely,12,No
EMP00138,23,Male,Research & Development,HR Executive,High School,Married,11192,23,1,1,1,Yes,Non-Travel,28,No
EMP00139,34,Female,Research & Development,Sales Executive,PhD,Divorced,6289,37,3,1,3,No,Non-Travel,6,No
EMP00140,20,Female,Human Resources,Laboratory Technician,PhD,Single,15021,5,1,1,3,No,Travel_Rarely,19,Yes
EMP00141,60,Female,Sales,Laboratory Technician,Bachelor,Married,9704,5,2,2,1,Yes,Travel_Rarely,12,No
EMP00142,21,Female,Human Resources,Developer,PhD,Single,5311,35,2,3,1,Yes,Non-Travel,22,No
EMP00143,59,Male,Research & Development,Manager,Master,Married,14781,37,1,3,4,No,Travel_Rarely,6,No
EMP00144,18,Female,Human Resources,Research Scientist,High School,Single,9227,15,1,3,2,No,Travel_Rarely,4,No
EMP00145,46,Female,Research & Development,Research Scientist,PhD,Single,13994,1,2,3,2,No,Travel_Frequently,2,No
EMP00146,27,Female,Sales,Manager,PhD,Married,10085,28,2,1,3,Yes,Travel_Frequently,27,No
EMP00147,34,Female,Sales,Manager,PhD,Married,5741,21,2,1,2,No,Travel_Frequently,16,No
EMP00148,30,Female,Research & Development,Manager,Bachelor,Single,5197,7,4,3,4,No,Non-Travel,2,No
EMP00149,19,Female,Human Resources,Manager,Bachelor,Married,2063,9,3,2,3,No,Travel_Rarely,2,No
EMP00150,29,Male,Sales,HR Executive,Bachelor,Divorced,7754,13,2,1,1,No,Travel_Frequently,24,No
EMP00151,26,Male,Human Resources,Manager,Bachelor,Single,4152,17,4,1,3,No,Travel_Rarely,10,No
EMP00152,48,Male,Human Resources,Manager,Bachelor,Single,14029,5,1,2,3,No,Travel_Frequently,20,Yes
EMP00153,46,Male,Sales,Manager,Bachelor,Married,14497,22,1,3,1,Yes,Travel_Frequently,16,No
EMP00154,52,Male,Sales,Research Scientist,High School,Single,7976,32,2,1,3,No,Travel_Rarely,18,Yes
EMP00155,30,Female,Sales,HR Executive,PhD,Divorced,9810,1,4,1,3,Yes,Non-Travel,23,Yes
EMP00156,47,Female,Human Resources,HR Executive,Master,Single,5998,2,1,4,2,Yes,Travel_Frequently,19,Yes
EMP00157,54,Female,Human Resources,Laboratory Technician,Bachelor,Single,14738,14,4,1,4,Yes,Non-Travel,25,No
EMP00158,39,Female,Human Resources,Manager,PhD,Divorced,3754,21,3,2,3,No,Non-Travel,28,No
EMP00159,24,Male,Sales,Manager,PhD,Single,18540,40,1,2,2,No,Travel_Rarely,13,Yes
EMP00160,20,Male,Human Resources,HR Executive,Master,Divorced,10959,40,1,1,3,No,Non-Travel,17,Yes
EMP00161,20,Female,Sales,Manager,Master,Divorced,7471,27,1,1,3,Yes,Non-Travel,15,No
EMP00162,26,Female,Research & Development,HR Executive,Master,Married,9975,28,1,3,4,Yes,Travel_Frequently,23,No
EMP00163,41,Female,Human Resources,Manager,PhD,Married,12174,24,1,2,3,Yes,Non-Travel,7,No
EMP00164,40,Male,Sales,Manager,Master,Married,10844,37,3,2,3,No,Non-Travel,25,No
EMP00165,56,Female,Research & Development,Developer,High School,Divorced,14710,10,4,3,1,Yes,Travel_Frequently,8,No
EMP00166,40,Male,Human Resources,Research Scientist,Master,Divorced,5114,26,4,3,2,Yes,Travel_Rarely,28,No
EMP00167,53,Male,Research & Development,Laboratory Technician,Bachelor,Married,11152,0,1,4,4,Yes,Travel_Frequently,15,Yes
EMP00168,43,Female,Human Resources,Manager,High School,Divorced,18369,22,4,4,3,No,Non-Travel,18,No
EMP00169,42,Male,Sales,Manager,Master,Divorced,9951,9,3,2,4,No,Non-Travel,1,No
EMP00170,49,Female,Human Resources,Manager,PhD,Divorced,18949,16,4,4,4,Yes,Travel_Rarely,2,No
EMP00171,22,Male,Sales,Laboratory Technician,Master,Divorced,15136,28,2,2,4,No,Travel_Rarely,13,No
EMP00172,55,Female,Human Resources,HR Executive,High School,Single,13885,39,3,3,1,No,Travel_Rarely,17,No
EMP00173,36,Female,Human Resources,Laboratory Technician,Bachelor,Divorced,11500,7,2,2,4,Yes,Non-Travel,2,No
EMP00174,58,Male,Human Resources,Laboratory Technician,High School,Single,12051,22,1,3,4,Yes,Non-Travel,19,No
EMP00175,49,Female,Human Resources,HR Executive,Bachelor,Divorced,8505,1,4,1,2,Yes,Non-Travel,17,Yes
EMP00176,28,Female,Research & Development,HR Executive,PhD,Single,2409,1,3,2,2,Yes,Travel_Rarely,9,Yes
EMP00177,24,Male,Research & Development,Research Scientist,PhD,Divorced,14637,2,1,1,2,Yes,Travel_Rarely,19,Yes
EMP00178,33,Male,Sales,Sales Executive,Bachelor,Divorced,7686,28,3,1,4,Yes,Travel_Rarely,14,Yes
EMP00179,22,Male,Human Resources,Laboratory Technician,Bachelor,Married,12130,31,4,4,1,No,Non-Travel,3,No
EMP00180,29,Male,Research & Development,Laboratory Technician,Master,Single,12977,10,4,3,4,Yes,Travel_Frequently,3,No
EMP00181,40,Male,Research & Development,Research Scientist,PhD,Married,13287,27,2,4,1,Yes,Travel_Rarely,22,No
EMP00182,33,Male,Sales,Research Scientist,Master,Divorced,6187,21,4,4,2,Yes,Non-Travel,12,No
EMP00183,42,Male,Research & Development,Laboratory Technician,Bachelor,Single,16833,13,2,3,4,No,Travel_Frequently,12,No
EMP00184,31,Male,Sales,Developer,High School,Divorced,10860,25,4,1,2,Yes,Travel_Rarely,1,No
EMP00185,32,Female,Sales,Developer,High School,Single,13845,5,3,2,1,No,Travel_Frequently,10,No
EMP00186,43,Female,Research & Development,Laboratory Technician,PhD,Divorced,6330,14,3,2,1,Yes,Travel_Rarely,22,No
EMP00187,47,Male,Research & Development,Manager,High School,Single,11551,26,1,3,2,No,Travel_Frequently,22,Yes
EMP00188,28,Female,Sales,Manager,Bachelor,Married,3285,25,3,2,2,Yes,Travel_Frequently,16,Yes
EMP00189,54,Female,Sales,Sales Executive,Master,Single,3551,27,2,1,1,No,Travel_Rarely,7,No
EMP00190,43,Male,Research & Development,HR Executive,High School,Married,15892,5,4,3,4,No,Travel_Frequently,2,No
EMP00191,26,Female,Sales,Sales Executive,Master,Single,19904,27,2,2,3,Yes,Non-Travel,2,No
EMP00192,23,Male,Human Resources,Manager,Bachelor,Single,17939,22,4,2,2,Yes,Non-Travel,17,No
EMP00193,40,Female,Sales,Developer,Bachelor,Divorced,9889,8,3,1,4,No,Non-Travel,22,No
EMP00194,43,Male,Sales,Developer,Master,Single,13812,38,4,2,1,Yes,Non-Travel,29,No
EMP00195,37,Female,Sales,Research Scientist,Master,Married,17357,19,3,3,2,No,Travel_Frequently,3,No
EMP00196,49,Male,Human Resources,Developer,Master,Divorced,10664,0,1,4,4,Yes,Travel_Rarely,7,No
EMP00197,23,Female,Human Resources,HR Executive,Master,Divorced,10060,0,1,2,1,No,Non-Travel,25,No
EMP00198,29,Male,Sales,Developer,Master,Divorced,12704,9,4,2,3,No,Travel_Rarely,8,No
EMP00199,41,Female,Sales,Sales Executive,High School,Single,15212,8,1,2,4,No,Travel_Rarely,16,No
EMP00200,58,Male,Sales,Developer,Bachelor,Single,6531,19,4,4,1,Yes,Non-Travel,28,No
EMP00201,41,Male,Sales,HR Executive,PhD,Single,11281,30,1,1,4,No,Travel_Rarely,3,No
EMP00202,29,Male,Research & Development,Manager,High School,Married,13406,0,2,4,1,No,Travel_Frequently,11,No
EMP00203,58,Male,Research & Development,HR Executive,High School,Single,12863,27,3,4,3,No,Travel_Rarely,22,No
EMP00204,51,Male,Sales,Research Scientist,PhD,Divorced,4792,19,2,3,4,Yes,Travel_Rarely,17,No
EMP00205,34,Male,Sales,Research Scientist,Bachelor,Divorced,5678,36,2,3,1,Yes,Non-Travel,17,No
EMP00206,47,Male,Human Resources,HR Executive,High School,Divorced,18816,31,1,4,1,No,Travel_Rarely,5,No
EMP00207,50,Male,Research & Development,Developer,PhD,Divorced,7611,40,2,4,1,Yes,Non-Travel,12,No
EMP00208,41,Male,Sales,Developer,Bachelor,Married,11828,25,1,2,4,Yes,Non-Travel,20,No
EMP00209,40,Male,Research & Development,Developer,Master,Divorced,2381,36,3,1,2,Yes,Travel_Rarely,17,Yes
EMP00210,56,Female,Sales,Manager,Master,Divorced,5701,31,1,2,3,No,Travel_Rarely,7,Yes
EMP00211,55,Female,Sales,Sales Executive,PhD,Single,4416,1,3,2,2,No,Travel_Frequently,30,No
EMP00212,55,Female,Human Resources,Developer,Master,Married,2452,24,1,3,2,No,Travel_Rarely,17,No
EMP00213,20,Male,Sales,HR Executive,PhD,Married,7186,2,4,4,2,No,Travel_Frequently,17,No
EMP00214,31,Female,Sales,HR Executive,High School,Single,7561,23,3,4,3,Yes,Travel_Frequently,15,No
EMP00215,39,Female,Research & Development,Research Scientist,High School,Single,17053,22,1,2,2,No,Travel_Rarely,13,No
EMP00216,34,Female,Human Resources,HR Executive,Bachelor,Divorced,3117,4,1,2,4,No,Travel_Frequently,19,No
EMP00217,33,Male,Human Resources,Sales Executive,Master,Married,13883,23,2,3,4,Yes,Travel_Rarely,2,No
EMP00218,48,Female,Sales,Research Scientist,Master,Single,6443,20,2,1,4,No,Travel_Rarely,15,No
EMP00219,28,Male,Sales,Manager,Master,Married,13156,36,1,2,1,No,Travel_Frequently,6,No
EMP00220,47,Female,Human Resources,Laboratory Technician,High School,Married,12461,37,2,3,3,No,Travel_Frequently,1,No
EMP00221,19,Male,Sales,Laboratory Technician,PhD,Single,11261,40,1,2,2,Yes,Travel_Frequently,2,No
EMP00222,22,Female,Human Resources,Research Scientist,High School,Single,10868,38,1,3,1,Yes,Non-Travel,11,Yes
EMP00223,43,Female,Sales,Sales Executive,PhD,Single,4857,1,3,4,4,No,Travel_Rarely,15,No
EMP00224,38,Male,Research & Development,HR Executive,Master,Single,5062,1,1,2,2,Yes,Non-Travel,17,No
EMP00225,45,Female,Human Resources,Developer,Bachelor,Divorced,12840,22,2,3,4,Yes,Non-Travel,25,No
EMP00226,47,Female,Research & Development,HR Executive,Master,Single,10287,35,1,4,1,No,Travel_Frequently,26,No
EMP00227,32,Female,Sales,Sales Executive,Bachelor,Single,3971,9,2,2,3,No,Travel_Frequently,12,No
EMP00228,28,Male,Research & Development,Developer,Bachelor,Married,18349,11,2,3,4,Yes,Travel_Rarely,7,No
EMP00229,18,Male,Human Resources,Laboratory Technician,Master,Single,9474,1,4,4,4,No,Travel_Frequently,21,Yes
EMP00230,34,Female,Sales,Research Scientist,Master,Single,12683,1,4,3,3,Yes,Travel_Rarely,7,Yes
EMP00231,35,Male,Research & Development,Manager,High School,Married,2128,30,4,2,2,Yes,Travel_Rarely,22,No
EMP00232,31,Female,Sales,Laboratory Technician,Bachelor,Married,6580,13,3,1,1,No,Non-Travel,30,No
EMP00233,27,Female,Sales,Research Scientist,PhD,Divorced,15014,8,1,4,3,Yes,Travel_Frequently,30,No
EMP00234,20,Male,Sales,Developer,High School,Single,6418,21,2,4,1,No,Travel_Frequently,1,No
EMP00235,25,Male,Research & Development,Research Scientist,PhD,Single,7864,20,2,2,1,Yes,Travel_Frequently,12,Yes
EMP00236,31,Male,Human Resources,Sales Executive,Master,Divorced,7807,4,1,3,3,No,Non-Travel,2,No
EMP00237,53,Female,Research & Development,Sales Executive,Master,Divorced,3356,32,4,3,3,Yes,Travel_Frequently,14,Yes
EMP00238,52,Female,Research & Development,Research Scientist,PhD,Married,15433,25,2,1,2,No,Travel_Frequently,17,No
EMP00239,33,Male,Human Resources,Sales Executive,High School,Divorced,3102,39,1,4,3,No,Travel_Frequently,21,No
EMP00240,47,Male,Research & Development,Developer,PhD,Divorced,13218,35,4,2,4,No,Travel_Rarely,23,No
EMP00241,35,Female,Sales,Developer,Bachelor,Divorced,10681,25,3,4,3,Yes,Travel_Frequently,19,No
EMP00242,27,Male,Human Resources,Manager,Bachelor,Divorced,7542,36,3,2,2,No,Non-Travel,27,No
