Loan_ID,Customer_ID,Age,Annual_Income,Credit_Score,Loan_Amount,Term_Months,Interest_Rate_Pct,Loan_Purpose,Employment_Status,Home_Ownership,Debt_to_Income_Ratio,Loan_Status
LN100096,CUST200096,31,74440.36,527,6804.12,60,22.88,Home Improvement,Employed,Mortgage,0.18,Fully Paid
LN100097,CUST200097,37,74814.94,819,16747.2,36,14.4,Home Improvement,Employed,Mortgage,0.06,Current
LN100098,CUST200098,28,104762.58,570,12847.21,36,21.74,Credit Card Reinvestment,Self-Employed,Own,0.21,Fully Paid
LN100099,CUST200099,55,53508.08,709,17645.55,36,17.14,Home Improvement,Employed,Mortgage,0.13,Fully Paid
LN100100,CUST200100,55,26856.6,683,5326.01,36,19.15,Credit Card Reinvestment,Unemployed,Rent,0.13,Charged Off
LN100101,CUST200101,53,47553.16,540,8154.46,36,24.17,Debt Consolidation,Employed,Rent,0.21,Charged Off
LN100102,CUST200102,25,83931.67,759,8019.65,36,16.25,Credit Card Reinvestment,Employed,Mortgage,0.05,Fully Paid
LN100103,CUST200103,62,65583.24,843,32354.17,36,9.1,Major Purchase,Employed,Mortgage,0.35,Current
LN100104,CUST200104,59,53310.02,583,13674.55,60,21.07,Small Business,Employed,Rent,0.19,Current
LN100105,CUST200105,61,38087.57,545,14469.07,60,23.29,Home Improvement,Employed,Rent,0.19,Current
LN100106,CUST200106,48,70532.15,658,14380.38,36,17.53,Debt Consolidation,Self-Employed,Mortgage,0.1,Fully Paid
LN100107,CUST200107,27,81112.66,843,27422.63,36,12.74,Debt Consolidation,Employed,Mortgage,0.05,Current
LN100108,CUST200108,29,72646.8,506,2093.28,36,23.99,Debt Consolidation,Employed,Rent,0.16,Charged Off
LN100109,CUST200109,28,58666.74,832,14520.8,36,10.57,Home Improvement,Employed,Mortgage,0.12,Charged Off
LN100110,CUST200110,32,68666.03,635,2018.29,60,21.01,Debt Consolidation,Employed,Rent,0.26,Current
LN100111,CUST200111,54,68521.07,682,1000.0,60,16.15,Education,Employed,Rent,0.06,Fully Paid
LN100112,CUST200112,53,69742.42,696,9126.08,36,15.66,Small Business,Employed,Rent,0.31,Fully Paid
LN100113,CUST200113,43,35392.38,671,18297.31,36,18.92,Debt Consolidation,Employed,Mortgage,0.03,Fully Paid
LN100114,CUST200114,44,69933.16,848,8617.75,36,13.1,Home Improvement,Employed,Mortgage,0.2,Fully Paid
LN100115,CUST200115,57,53985.09,775,18166.12,60,14.24,Major Purchase,Employed,Mortgage,0.07,Current
LN100116,CUST200116,55,91015.47,577,15851.81,36,19.5,Debt Consolidation,Employed,Rent,0.04,Current
LN100117,CUST200117,64,68322.97,677,13887.48,36,18.95,Home Improvement,Employed,Mortgage,0.18,Fully Paid
LN100118,CUST200118,60,85886.98,526,25119.71,60,23.07,Home Improvement,Employed,Rent,0.14,Charged Off
LN100119,CUST200119,42,57455.47,619,10231.71,60,21.92,Debt Consolidation,Employed,Mortgage,0.45,Fully Paid
LN100120,CUST200120,47,58357.15,780,18045.24,60,13.23,Credit Card Reinvestment,Employed,Mortgage,0.14,Fully Paid
LN100121,CUST200121,55,102356.28,807,1000.0,36,14.44,Education,Employed,Rent,0.22,Fully Paid
LN100122,CUST200122,21,75908.38,695,15790.24,36,16.57,Debt Consolidation,Employed,Rent,0.09,Charged Off
LN100123,CUST200123,55,47137.14,776,12942.27,36,12.93,Home Improvement,Employed,Mortgage,0.19,Current
LN100124,CUST200124,57,87424.36,517,5542.03,60,21.44,Debt Consolidation,Self-Employed,Mortgage,0.16,Charged Off
LN100125,CUST200125,34,51667.38,794,18187.99,60,12.25,Small Business,Employed,Rent,0.04,Current
LN100126,CUST200126,23,70642.45,770,9088.39,60,14.47,Small Business,Employed,Mortgage,0.26,Charged Off
LN100127,CUST200127,21,110916.87,552,28857.48,36,23.07,Debt Consolidation,Employed,Rent,0.3,Charged Off
LN100128,CUST200128,25,29217.94,793,1000.0,60,14.2,Small Business,Employed,Rent,0.16,Fully Paid
LN100129,CUST200129,46,60605.45,551,16986.07,36,24.83,Debt Consolidation,Employed,Mortgage,0.4,Charged Off
LN100130,CUST200130,34,75206.79,715,15341.58,36,16.44,Debt Consolidation,Employed,Mortgage,0.17,Fully Paid
LN100131,CUST200131,59,84117.46,571,12753.09,36,22.26,Credit Card Reinvestment,Employed,Rent,0.15,Charged Off
LN100132,CUST200132,47,33969.15,527,10766.11,36,25.59,Debt Consolidation,Employed,Rent,0.14,Fully Paid
LN100133,CUST200133,29,26605.24,751,15549.03,36,15.31,Home Improvement,Unemployed,Mortgage,0.1,Fully Paid
LN100134,CUST200134,35,92268.73,534,23497.53,60,22.26,Credit Card Reinvestment,Self-Employed,Mortgage,0.22,Current
LN100135,CUST200135,35,46989.63,700,1622.52,60,16.22,Debt Consolidation,Employed,Mortgage,0.19,Fully Paid
LN100136,CUST200136,46,45942.94,748,8552.1,36,11.89,Debt Consolidation,Employed,Mortgage,0.32,Fully Paid
LN100137,CUST200137,62,103756.24,598,6597.46,36,19.67,Home Improvement,Employed,Mortgage,0.03,Current
LN100138,CUST200138,33,66742.56,807,6221.66,36,10.18,Debt Consolidation,Employed,Rent,0.25,Current
LN100139,CUST200139,52,66905.96,639,17741.99,36,19.97,Debt Consolidation,Employed,Mortgage,0.07,Fully Paid
LN100140,CUST200140,59,60505.01,582,19714.7,36,23.54,Debt Consolidation,Employed,Rent,0.18,Current
LN100141,CUST200141,52,34400.45,547,23520.82,60,21.71,Major Purchase,Employed,Mortgage,0.15,Charged Off
LN100142,CUST200142,24,81892.42,777,19840.78,36,12.56,Small Business,Employed,Own,0.02,Fully Paid
LN100143,CUST200143,50,75236.26,747,20489.14,60,16.53,Debt Consolidation,Employed,Mortgage,0.06,Fully Paid
LN100144,CUST200144,57,69217.28,676,3705.53,60,17.28,Debt Consolidation,Employed,Mortgage,0.37,Current
LN100145,CUST200145,43,62091.92,551,26868.51,36,23.35,Credit Card Reinvestment,Self-Employed,Mortgage,0.14,Charged Off
LN100146,CUST200146,59,57692.01,578,13321.94,36,22.99,Education,Self-Employed,Own,0.24,Current
LN100147,CUST200147,35,87812.08,821,23263.97,60,11.1,Debt Consolidation,Employed,Mortgage,0.18,Fully Paid
LN100148,CUST200148,63,61467.67,563,3990.66,36,21.45,Small Business,Employed,Mortgage,0.13,Charged Off
LN100149,CUST200149,49,63398.47,507,13068.64,60,23.96,Home Improvement,Employed,Mortgage,0.05,Charged Off
LN100150,CUST200150,56,78247.33,713,22544.13,60,14.15,Education,Employed,Rent,0.42,Current
LN100151,CUST200151,33,70199.02,524,15223.4,36,24.77,Debt Consolidation,Self-Employed,Mortgage,0.23,Fully Paid
LN100152,CUST200152,52,106056.9,755,8968.24,60,15.7,Education,Employed,Rent,0.25,Fully Paid
LN100153,CUST200153,27,20965.83,742,25478.51,36,15.44,Home Improvement,Employed,Rent,0.1,Fully Paid
LN100154,CUST200154,42,72497.69,697,5628.68,60,19.16,Education,Employed,Mortgage,0.23,Current
LN100155,CUST200155,48,47359.86,593,14836.59,36,20.89,Home Improvement,Employed,Rent,0.03,Fully Paid
LN100156,CUST200156,22,41447.84,706,20121.37,60,17.69,Home Improvement,Employed,Rent,0.03,Charged Off
LN100157,CUST200157,62,53573.39,514,31765.52,36,25.17,Major Purchase,Unemployed,Rent,0.17,Charged Off
LN100158,CUST200158,26,66366.99,677,11333.16,60,16.72,Credit Card Reinvestment,Employed,Rent,0.08,Fully Paid
LN100159,CUST200159,48,67476.73,574,12788.39,36,23.77,Credit Card Reinvestment,Employed,Rent,0.1,Charged Off
LN100160,CUST200160,48,27067.34,603,11442.47,36,21.07,Home Improvement,Unemployed,Own,0.11,Charged Off
LN100161,CUST200161,64,51472.9,793,16907.76,36,14.74,Major Purchase,Employed,Mortgage,0.1,Fully Paid
LN100162,CUST200162,64,72030.54,667,19703.43,60,16.37,Small Business,Self-Employed,Rent,0.06,Current
LN100163,CUST200163,40,43076.74,614,23746.51,36,20.6,Debt Consolidation,Employed,Rent,0.39,Fully Paid
LN100164,CUST200164,50,37130.4,538,21048.38,36,22.79,Home Improvement,Unemployed,Mortgage,0.13,Current
LN100165,CUST200165,31,18000.0,772,11021.01,60,12.84,Small Business,Employed,Mortgage,0.11,Current
LN100166,CUST200166,48,48420.16,634,21506.97,60,21.75,Credit Card Reinvestment,Unemployed,Mortgage,0.07,Fully Paid
LN100167,CUST200167,45,36259.27,731,15732.37,36,16.05,Major Purchase,Employed,Rent,0.16,Fully Paid
LN100168,CUST200168,59,40401.68,538,20962.02,60,21.26,Small Business,Employed,Rent,0.41,Charged Off
LN100169,CUST200169,53,58204.49,790,21418.94,36,12.65,Major Purchase,Employed,Rent,0.16,Fully Paid
LN100170,CUST200170,21,50004.28,806,28041.01,60,14.17,Credit Card Reinvestment,Employed,Mortgage,0.33,Fully Paid
LN100171,CUST200171,47,35844.05,546,12163.27,60,21.88,Education,Employed,Mortgage,0.18,Charged Off
LN100172,CUST200172,33,18000.0,535,10635.58,36,22.17,Small Business,Unemployed,Mortgage,0.12,Charged Off
LN100173,CUST200173,61,72557.78,819,18577.31,36,12.02,Major Purchase,Employed,Rent,0.02,Fully Paid
LN100174,CUST200174,23,83820.68,594,24460.14,36,21.94,Debt Consolidation,Employed,Mortgage,0.14,Charged Off
LN100175,CUST200175,59,55081.38,512,15464.51,36,23.43,Debt Consolidation,Employed,Own,0.16,Current
LN100176,CUST200176,26,58355.61,645,24981.7,60,19.79,Home Improvement,Self-Employed,Mortgage,0.08,Fully Paid
LN100177,CUST200177,28,65070.26,564,20520.47,36,22.49,Credit Card Reinvestment,Employed,Mortgage,0.14,Charged Off
LN100178,CUST200178,47,104469.59,727,13390.28,60,16.15,Debt Consolidation,Unemployed,Own,0.08,Charged Off
LN100179,CUST200179,29,25807.31,741,19506.68,36,11.75,Debt Consolidation,Employed,Rent,0.11,Fully Paid
LN100180,CUST200180,57,54637.76,507,11521.39,60,24.74,Debt Consolidation,Employed,Rent,0.09,Charged Off
LN100181,CUST200181,53,21950.68,803,16908.8,60,12.5,Major Purchase,Employed,Own,0.15,Fully Paid
LN100182,CUST200182,62,74057.96,840,6414.73,60,11.99,Small Business,Employed,Mortgage,0.07,Fully Paid
LN100183,CUST200183,64,61401.04,542,14454.75,36,22.34,Small Business,Employed,Mortgage,0.32,Charged Off
LN100184,CUST200184,44,70074.8,743,22997.51,36,14.72,Debt Consolidation,Employed,Mortgage,0.18,Fully Paid
LN100185,CUST200185,35,68828.06,680,21137.18,36,18.6,Debt Consolidation,Employed,Rent,0.06,Fully Paid
LN100186,CUST200186,52,89767.71,584,19966.73,36,23.81,Home Improvement,Employed,Mortgage,0.09,Fully Paid
LN100187,CUST200187,52,78453.32,654,17299.84,36,16.85,Debt Consolidation,Self-Employed,Mortgage,0.11,Current
LN100188,CUST200188,44,85762.7,774,16278.77,60,14.81,Credit Card Reinvestment,Employed,Rent,0.24,Fully Paid
LN100189,CUST200189,61,38361.63,522,4863.54,36,25.95,Debt Consolidation,Employed,Rent,0.23,Charged Off
LN100190,CUST200190,32,94829.27,614,13351.32,36,21.48,Debt Consolidation,Employed,Mortgage,0.07,Current
LN100191,CUST200191,59,46940.93,805,16460.93,36,14.53,Home Improvement,Employed,Rent,0.36,Fully Paid
LN100192,CUST200192,22,48378.26,798,6004.77,36,12.26,Debt Consolidation,Employed,Rent,0.14,Fully Paid
LN100193,CUST200193,23,71771.06,598,1000.0,36,22.94,Debt Consolidation,Employed,Rent,0.13,Current
LN100194,CUST200194,57,72547.96,603,24030.66,60,19.79,Home Improvement,Unemployed,Mortgage,0.12,Fully Paid
LN100195,CUST200195,37,38203.58,550,15406.71,36,23.08,Debt Consolidation,Self-Employed,Mortgage,0.13,Charged Off
LN100196,CUST200196,22,60668.02,611,16679.83,60,19.81,Home Improvement,Employed,Mortgage,0.15,Charged Off
LN100197,CUST200197,22,102205.88,743,19445.01,36,14.59,Debt Consolidation,Employed,Rent,0.09,Fully Paid
LN100198,CUST200198,48,28291.59,668,7142.66,60,15.7,Credit Card Reinvestment,Employed,Own,0.11,Fully Paid
LN100199,CUST200199,43,102130.48,571,11772.03,36,19.2,Education,Self-Employed,Rent,0.09,Fully Paid
LN100200,CUST200200,57,58957.54,638,27032.54,60,21.25,Home Improvement,Employed,Rent,0.09,Fully Paid
LN100201,CUST200201,52,18000.0,835,11090.76,36,8.9,Credit Card Reinvestment,Employed,Rent,0.13,Current
LN100202,CUST200202,53,30831.71,730,12873.16,36,16.18,Small Business,Employed,Rent,0.11,Fully Paid
LN100203,CUST200203,21,40913.06,738,9644.09,36,13.53,Debt Consolidation,Employed,Rent,0.26,Fully Paid
LN100204,CUST200204,39,49401.77,752,9073.17,60,13.65,Debt Consolidation,Employed,Rent,0.2,Fully Paid
LN100205,CUST200205,22,62382.17,548,23843.85,60,24.11,Debt Consolidation,Employed,Rent,0.17,Charged Off
LN100206,CUST200206,64,18000.0,802,1000.0,36,13.16,Home Improvement,Employed,Mortgage,0.21,Fully Paid
LN100207,CUST200207,46,69670.11,571,11343.89,36,21.97,Credit Card Reinvestment,Employed,Rent,0.29,Charged Off
LN100208,CUST200208,52,38622.74,762,16803.28,36,16.24,Debt Consolidation,Employed,Mortgage,0.23,Current
LN100209,CUST200209,26,99763.06,821,28574.33,36,11.73,Small Business,Employed,Mortgage,0.22,Fully Paid
LN100210,CUST200210,52,58245.58,721,5918.2,36,18.0,Debt Consolidation,Self-Employed,Rent,0.04,Fully Paid
LN100211,CUST200211,24,88571.15,576,4554.63,36,20.36,Small Business,Employed,Mortgage,0.1,Current
LN100212,CUST200212,31,92758.72,561,8119.2,60,20.78,Small Business,Employed,Mortgage,0.17,Current
LN100213,CUST200213,37,92081.83,656,20613.64,60,18.55,Education,Employed,Rent,0.24,Fully Paid
LN100214,CUST200214,58,50839.83,793,16002.28,36,13.28,Major Purchase,Self-Employed,Rent,0.21,Current
LN100215,CUST200215,44,50520.0,624,3458.91,36,18.75,Debt Consolidation,Employed,Mortgage,0.11,Current
LN100216,CUST200216,25,59375.67,728,15796.46,36,15.47,Credit Card Reinvestment,Self-Employed,Mortgage,0.05,Fully Paid
LN100217,CUST200217,54,80905.93,839,27411.5,36,13.49,Debt Consolidation,Employed,Mortgage,0.17,Current
LN100218,CUST200218,26,52232.62,660,17115.84,36,18.01,Small Business,Self-Employed,Rent,0.06,Fully Paid
LN100219,CUST200219,42,62018.44,528,16316.46,36,20.98,Debt Consolidation,Unemployed,Mortgage,0.15,Current
LN100220,CUST200220,31,71839.85,613,16797.94,60,17.87,Debt Consolidation,Employed,Mortgage,0.12,Charged Off
LN100221,CUST200221,36,42377.7,578,18316.02,60,25.01,Small Business,Employed,Mortgage,0.06,Current
LN100222,CUST200222,53,40797.29,522,4863.19,36,26.3,Debt Consolidation,Employed,Mortgage,0.25,Charged Off
LN100223,CUST200223,29,61043.4,605,13144.61,36,20.15,Debt Consolidation,Employed,Rent,0.27,Current
LN100224,CUST200224,26,64354.47,630,13561.95,60,21.02,Home Improvement,Employed,Rent,0.15,Charged Off
LN100225,CUST200225,36,75847.14,672,11132.25,60,18.51,Credit Card Reinvestment,Employed,Rent,0.11,Fully Paid
LN100226,CUST200226,49,81797.16,763,20488.97,36,16.39,Credit Card Reinvestment,Employed,Mortgage,0.27,Current
LN100227,CUST200227,23,37523.43,841,9928.05,60,9.75,Credit Card Reinvestment,Employed,Rent,0.19,Fully Paid
LN100228,CUST200228,40,44697.88,784,12120.25,36,12.08,Small Business,Employed,Mortgage,0.09,Current
LN100229,CUST200229,56,40731.19,501,4918.62,36,26.94,Debt Consolidation,Self-Employed,Mortgage,0.24,Charged Off
LN100230,CUST200230,39,100311.19,732,18026.48,36,13.48,Home Improvement,Employed,Rent,0.1,Fully Paid
LN100231,CUST200231,46,61993.24,750,22535.22,60,15.1,Credit Card Reinvestment,Self-Employed,Mortgage,0.43,Fully Paid
LN100232,CUST200232,23,65403.23,820,12111.84,36,12.13,Credit Card Reinvestment,Employed,Mortgage,0.16,Fully Paid
LN100233,CUST200233,39,66444.36,607,21459.12,36,21.9,Home Improvement,Employed,Rent,0.24,Current
LN100234,CUST200234,40,47108.25,775,13824.35,60,14.21,Debt Consolidation,Employed,Mortgage,0.37,Current
LN100235,CUST200235,52,104106.74,679,1000.0,60,17.64,Debt Consolidation,Employed,Mortgage,0.15,Current
LN100236,CUST200236,27,75275.67,712,14587.88,60,15.95,Debt Consolidation,Employed,Rent,0.03,Fully Paid
LN100237,CUST200237,61,65989.76,792,13595.43,36,11.83,Debt Consolidation,Employed,Mortgage,0.07,Fully Paid
